country,iso,status,datetime,sources,observations,date_range,priority,execution_time,queries,yield_pct
Angola,AGO,COMPLETED,2026-06-18 14:21:11,34,73,1974-2026,LOW,3,12,491.7
Burundi,BDI,COMPLETED,2026-06-18 14:38:47,10,19,1970-2026,MEDIUM,0,0,
Benin,BEN,COMPLETED,2026-05-15 06:57:46,7,16,1970-2022,MEDIUM,0,0,
Burkina Faso,BFA,COMPLETED,2026-05-15 06:57:46,13,28,1971-2025,MEDIUM,5,17,141.2
Botswana,BWA,COMPLETED,2026-05-15 06:57:46,6,5,2008-2024,HIGH,1,5,300.0
Central African Republic,CAF,COMPLETED,2026-05-15 06:57:46,8,9,1997-2025,HIGH,6,20,105.0
Côte d'Ivoire,CIV,COMPLETED,2026-05-14 08:05:12,10,11,1995-2025,HIGH,0,0,
Cameroon,CMR,COMPLETED,2026-05-15 06:57:46,19,20,2004-2024,MEDIUM,0,0,
Democratic Republic of Congo,COD,COMPLETED,2026-06-18 14:10:58,19,17,1970-2026,MEDIUM,0,0,
Congo,COG,COMPLETED,2026-06-18 14:41:52,11,21,2000-2026,MEDIUM,0,0,
Eritrea,ERI,COMPLETED,2026-05-13 05:23:03,0,0,,,0,0,
Ethiopia,ETH,COMPLETED,2026-06-18 15:04:56,17,39,1972-2025,LOW,1,4,550.0
Gabon,GAB,COMPLETED,2026-05-15 06:57:46,10,8,1970-2025,HIGH,0,0,
Ghana,GHA,COMPLETED,2026-05-15 06:57:46,26,35,1986-2025,LOW,0,1,2400.0
Guinea,GIN,COMPLETED,2026-05-14 10:25:03,10,11,1986-2025,HIGH,0,0,
Gambia,GMB,COMPLETED,2026-05-14 10:51:13,6,3,1869-2024,HIGH,0,0,
Guinea-Bissau,GNB,COMPLETED,2026-05-15 06:57:46,17,22,1986-2025,MEDIUM,1,6,100.0
Equatorial Guinea,GNQ,COMPLETED,2026-05-15 07:58:35,5,6,1980-2025,HIGH,0,1,1900.0
Kenya,KEN,COMPLETED,2026-05-15 06:57:46,23,45,1971-2030,LOW,1,5,1140.0
Liberia,LBR,COMPLETED,2026-05-15 06:57:46,8,11,2002-2011,HIGH,0,0,
Mali,MLI,COMPLETED,2026-05-15 00:48:18,12,30,1984-2025,LOW,0,0,
Mozambique,MOZ,COMPLETED,2026-06-18 12:55:39,18,50,1970-2026,LOW,4,16,306.2
Mauritania,MRT,COMPLETED,2026-05-15 06:57:46,7,8,2005-2025,HIGH,2,7,342.9
Malawi,MWI,COMPLETED,2026-06-18 14:32:25,31,48,1973-2026,LOW,0,3,666.7
Namibia,NAM,COMPLETED,2026-06-18 14:46:15,18,15,2006-2026,MEDIUM,0,0,
Niger,NER,COMPLETED,2026-05-15 06:57:46,26,31,1998-2024,LOW,0,0,
Nigeria,NGA,COMPLETED,2026-06-18 14:24:55,23,30,1982-2025,LOW,0,1,900.0
Rwanda,RWA,COMPLETED,2026-06-18 14:59:24,12,12,1991-2026,HIGH,0,0,
Senegal,SEN,COMPLETED,2026-05-15 06:57:46,20,28,1972-2025,MEDIUM,0,0,
Sierra Leone,SLE,COMPLETED,2026-05-15 06:57:46,22,19,1970-2024,MEDIUM,0,2,950.0
Somalia,SOM,COMPLETED,2026-06-18 14:53:42,27,27,1985-2026,MEDIUM,0,0,
South Sudan,SSD,COMPLETED,2026-06-18 14:06:33,22,52,1970-2026,LOW,0,0,
Eswatini,SWZ,COMPLETED,2026-05-15 04:31:47,8,8,2010-2025,HIGH,0,0,
Chad,TCD,COMPLETED,2026-05-15 06:36:43,12,15,2001-2019,MEDIUM,0,0,
Togo,TGO,COMPLETED,2026-05-15 06:57:46,11,9,1970-2023,HIGH,0,0,
Tanzania,TZA,COMPLETED,2026-06-18 14:56:33,14,22,1977-2026,MEDIUM,0,0,
Uganda,UGA,COMPLETED,2026-05-15 06:57:46,30,46,1970-2025,LOW,0,0,
South Africa,ZAF,COMPLETED,2026-05-15 06:57:46,31,60,1970-2026,LOW,0,0,
Zambia,ZMB,COMPLETED,2026-06-18 14:14:41,20,26,1970-2026,MEDIUM,22,75,29.3
Zimbabwe,ZWE,COMPLETED,2026-06-18 15:11:32,15,35,1973-2025,LOW,0,0,
