country,national_observations,subnational_observations,total_observations,national_pct,subnational_pct,national_start,national_end,subnational_start,subnational_end,iso_code
Angola,346,266,612,56.5359477124183,43.4640522875817,1971-01-01,2025-06-01,1991-12-29,2023-02-04,AGO
Burundi,535,33987,34522,1.5497363999768263,98.45026360002316,1978-01-01,2025-05-25,2011-08-05,2024-04-21,BDI
Benin,615,14328,14943,4.115639429833367,95.88436057016663,1970-01-01,2024-03-31,2008-09-28,2022-12-31,BEN
Burkina Faso,572,18442,19014,3.008309666561481,96.99169033343851,1970-01-01,2024-03-31,2005-08-13,2022-07-05,BFA
Botswana,18,1,19,94.73684210526315,5.263157894736842,2005-01-01,2023-12-31,2008-12-10,2008-12-16,BWA
Central African Republic,526,16626,17152,3.06669776119403,96.93330223880598,1997-01-01,2024-03-31,2018-01-01,2019-12-29,CAF
Côte d'Ivoire,1006,4,1010,99.60396039603961,0.39603960396039606,1970-01-01,2024-03-31,2006-07-01,2012-08-08,CIV
Cameroon,732,231443,232175,0.31527942284914395,99.68472057715086,1971-01-01,2024-11-24,2010-01-04,2023-01-05,CMR
Democratic Republic of Congo,2667,11758,14425,18.488734835355285,81.51126516464473,1978-01-01,2025-05-25,2010-12-14,2024-09-01,COD
Congo,0,0,0,0.0,0.0,,,,,COG
Eritrea,16,0,16,100.0,0.0,2005-01-01,2023-12-31,,,ERI
Ethiopia,487,218,705,69.07801418439716,30.921985815602838,1970-01-01,2025-06-01,2008-01-14,2019-10-13,ETH
Gabon,18,0,18,100.0,0.0,1979-01-01,2021-12-31,,,GAB
Ghana,558,119,677,82.42245199409159,17.57754800590842,1970-01-01,2025-05-04,2010-10-23,2016-11-10,GHA
Guinea,489,4326,4815,10.15576323987539,89.8442367601246,1970-01-01,2024-09-29,2018-01-01,2019-12-29,GIN
Gambia,15,0,15,100.0,0.0,1985-01-01,2023-12-31,,,GMB
Guinea-Bissau,496,7217,7713,6.430701413198496,93.56929858680151,1986-01-01,2024-09-29,1994-10-01,2019-08-18,GNB
Equatorial Guinea,17,1,18,94.44444444444444,5.555555555555555,1984-01-01,2021-12-31,2005-02-01,2005-02-25,GNQ
Kenya,527,451,978,53.88548057259713,46.11451942740286,1971-01-01,2025-06-01,1994-01-01,2024-07-31,KEN
Liberia,572,2973,3545,16.13540197461213,83.86459802538788,1970-01-01,2024-03-31,2005-05-10,2022-12-25,LBR
Mali,301,12861,13162,2.2868864914146787,97.71311350858532,1970-01-01,2023-12-31,2005-06-21,2019-12-29,MLI
Mozambique,394,315,709,55.57122708039493,44.42877291960507,1973-01-01,2025-06-01,2005-01-01,2024-01-28,MOZ
Mauritania,182,0,182,100.0,0.0,1971-01-01,2023-12-31,,,MRT
Malawi,104,0,104,100.0,0.0,2023-01-02,2025-03-30,,,MWI
Namibia,19,7,26,73.07692307692307,26.923076923076923,2005-01-01,2025-03-23,2013-06-30,2018-01-31,NAM
Niger,714,4836,5550,12.864864864864863,87.13513513513513,1970-01-01,2024-09-24,2004-01-01,2024-09-24,NER
Nigeria,1024,74723,75747,1.351868720873434,98.64813127912656,1970-01-01,2025-05-11,2009-06-01,2024-03-24,NGA
Rwanda,0,0,0,0.0,0.0,,,,,RWA
Senegal,0,0,0,0.0,0.0,,,,,SEN
Sierra Leone,324,58625,58949,0.5496276442348471,99.45037235576515,1970-01-01,2024-03-24,2006-01-01,2019-03-10,SLE
Somalia,126,736,862,14.617169373549885,85.38283062645012,2023-01-02,2025-06-01,1970-01-01,2024-12-31,SOM
South Sudan,767,280,1047,73.25692454632284,26.74307545367717,2006-01-28,2025-06-08,2007-01-01,2024-11-05,SSD
Eswatini,0,0,0,0.0,0.0,,,,,SWZ
Chad,409,4359,4768,8.578020134228188,91.4219798657718,1971-01-01,2023-12-31,2006-04-01,2019-11-17,TCD
Togo,597,4146,4743,12.586970271979759,87.41302972802025,1970-01-01,2025-03-09,2013-08-30,2019-12-29,TGO
Tanzania,952,1131,2083,45.7033125300048,54.2966874699952,1974-01-01,2025-05-25,2006-01-01,2023-12-31,TZA
Uganda,260,8456,8716,2.9830197338228546,97.01698026617714,1971-01-01,2025-03-30,2002-08-01,2024-05-31,UGA
South Africa,80,181,261,30.65134099616858,69.34865900383141,1973-01-01,2024-11-24,2000-08-01,2024-04-04,ZAF
Zambia,362,1698,2060,17.57281553398058,82.42718446601943,1977-01-01,2025-05-18,1990-11-04,2024-02-25,ZMB
Zimbabwe,574,633,1207,47.55592377796189,52.44407622203811,1973-01-01,2025-06-01,1999-01-01,2024-11-24,ZWE
