Index,Source,URL,Description,TL,TR,Reliability_Level,source_database
1,JHU Cholera Database (UID: 21433),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Burundi/ObservationCollection21433.csv,JHU cholera database entry with 16742 observations. Frequency: Weekly. Updated: 2025-08-06 Source tags: Unified,2013-12-30,2020-12-06,2,JHU
2,WHO AFRO Surveillance Report (UID: 20634),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Burundi/ObservationCollection20634.csv,JHU cholera database entry with 6 observations. Frequency: Other (7). Updated: 2024-02-09 Source tags: WHOafro,2017-07-10,2017-08-25,1,JHU
3,WHO AFRO Surveillance Report (UID: 20684),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Burundi/ObservationCollection20684.csv,JHU cholera database entry with 7 observations. Frequency: Other (43). Updated: 2024-02-09 Source tags: WHOafro,2017-08-20,2017-10-02,1,JHU
4,JHU Cholera Database (UID: 20539),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Burundi/ObservationCollection20539.csv,JHU cholera database entry with 1 observations. Frequency: Other (40). Updated: 2024-02-09,2011-08-05,2011-09-14,2,JHU
5,WHO AFRO Surveillance Report (UID: 20666),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Burundi/ObservationCollection20666.csv,JHU cholera database entry with 5 observations. Frequency: Other (37). Updated: 2024-02-09 Source tags: WHOafro,2017-08-20,2017-09-26,1,JHU
6,JHU Cholera Database (UID: 21460),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Burundi/ObservationCollection21460.csv,JHU cholera database entry with 193 observations. Frequency: Other (289). Updated: 2025-07-11,2022-12-08,2024-03-31,2,JHU
7,JHU Cholera Database (UID: 812),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Burundi/ObservationCollection812.csv,JHU cholera database entry with 1 observations. Frequency: Other (273). Updated: 2024-02-09,2012-09-30,2013-06-30,2,JHU
8,JHU Cholera Database (UID: 21370),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Burundi/ObservationCollection21370.csv,JHU cholera database entry with 175 observations. Frequency: Other (25). Updated: 2024-02-09,2017-01-01,2019-06-15,2,JHU
9,WHO AFRO Surveillance Report (UID: 20655),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Burundi/ObservationCollection20655.csv,JHU cholera database entry with 5 observations. Frequency: Other (23). Updated: 2024-02-09 Source tags: WHOafro,2017-08-20,2017-09-12,1,JHU
10,WHO AFRO Surveillance Report (UID: 20690),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Burundi/ObservationCollection20690.csv,JHU cholera database entry with 11 observations. Frequency: Other (22). Updated: 2024-02-09 Source tags: WHOafro,2017-08-05,2017-10-16,1,JHU
