iso_code,year,iso_week,week_start,week_end,sCh,deaths,source,confidence_weight,disaggregation_method
ETH,1970,1,1969-12-29,1970-01-04,5.5458,0.4698,JHU,0.7,fourier_country_k2
ETH,1970,2,1970-01-05,1970-01-11,6.7416,0.5711,JHU,0.7,fourier_country_k2
ETH,1970,3,1970-01-12,1970-01-18,8.1923,0.6939,JHU,0.7,fourier_country_k2
ETH,1970,4,1970-01-19,1970-01-25,9.8265,0.8324,JHU,0.7,fourier_country_k2
ETH,1970,5,1970-01-26,1970-02-01,11.5662,0.9797,JHU,0.7,fourier_country_k2
ETH,1970,6,1970-02-02,1970-02-08,13.3314,1.1292,JHU,0.7,fourier_country_k2
ETH,1970,7,1970-02-09,1970-02-15,15.0439,1.2743,JHU,0.7,fourier_country_k2
ETH,1970,8,1970-02-16,1970-02-22,16.6321,1.4088,JHU,0.7,fourier_country_k2
ETH,1970,9,1970-02-23,1970-03-01,18.0342,1.5276,JHU,0.7,fourier_country_k2
ETH,1970,10,1970-03-02,1970-03-08,19.202,1.6265,JHU,0.7,fourier_country_k2
ETH,1970,11,1970-03-09,1970-03-15,20.1023,1.7028,JHU,0.7,fourier_country_k2
ETH,1970,12,1970-03-16,1970-03-22,20.7194,1.7551,JHU,0.7,fourier_country_k2
ETH,1970,13,1970-03-23,1970-03-29,21.0544,1.7834,JHU,0.7,fourier_country_k2
ETH,1970,14,1970-03-30,1970-04-05,21.1256,1.7895,JHU,0.7,fourier_country_k2
ETH,1970,15,1970-04-06,1970-04-12,20.9661,1.7759,JHU,0.7,fourier_country_k2
ETH,1970,16,1970-04-13,1970-04-19,20.6217,1.7468,JHU,0.7,fourier_country_k2
ETH,1970,17,1970-04-20,1970-04-26,20.1478,1.7066,JHU,0.7,fourier_country_k2
ETH,1970,18,1970-04-27,1970-05-03,19.6053,1.6607,JHU,0.7,fourier_country_k2
ETH,1970,19,1970-05-04,1970-05-10,19.057,1.6142,JHU,0.7,fourier_country_k2
ETH,1970,20,1970-05-11,1970-05-17,18.5632,1.5724,JHU,0.7,fourier_country_k2
ETH,1970,21,1970-05-18,1970-05-24,18.1777,1.5398,JHU,0.7,fourier_country_k2
ETH,1970,22,1970-05-25,1970-05-31,17.9448,1.52,JHU,0.7,fourier_country_k2
ETH,1970,23,1970-06-01,1970-06-07,17.8957,1.5159,JHU,0.7,fourier_country_k2
ETH,1970,24,1970-06-08,1970-06-14,18.0471,1.5287,JHU,0.7,fourier_country_k2
ETH,1970,25,1970-06-15,1970-06-21,18.3997,1.5586,JHU,0.7,fourier_country_k2
ETH,1970,26,1970-06-22,1970-06-28,18.938,1.6042,JHU,0.7,fourier_country_k2
