Index,Location,TL,TR,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,processing_notes,source_database
1,AFR::GHA::Upper_East::Builsa,1999-07-01,1999-08-31,100,3997,,2.5,1999-09-02,1,WHO Disease Outbreak News Ghana Cholera 1999,0.95,"Source states: 'As of August 31, 1999, 3997 cases and 100 deaths had been reported to WHO' from Builsa district Upper East Region - interpreted as 3997 sCh and 100 deaths. CFR=100/3997=2.5%",AI
2,AFR::GHA,2010-09-01,2011-04-30,89,8000,,1.1,2011-04-30,3,PMC East Akim Cholera Outbreak 2010,0.85,"Source states: 'As of April 2011, over 8000 cases with 89 deaths (CFR=1.1) had been reported mainly from three regions (Central, Eastern and Greater Accra) in an outbreak that began September 2010' - interpreted as national total sCh=8000 deaths=89. National total — includes provinces not individually listed",AI
3,AFR::GHA::Eastern::East_Akim,2010-10-13,2010-11-20,0,136,,0.0,2010-11-20,3,PMC East Akim Cholera Outbreak 2010,0.95,"Source states: 'Of 136 case-patients' in the East Akim Municipality outbreak October-November 2010 with zero fatalities - interpreted as 136 sCh and 0 deaths in East Akim district. Provincial subset — do not sum with national row",AI
4,AFR::GHA,2012-01-01,2012-12-31,100,9548,,1.0,2012-12-31,2,PMC Assessment Response Cholera Two Districts Ghana 2012,0.95,"Source states: 'an outbreak of cholera affected 53 districts in nine regions in Ghana with 9548 cases and 100 deaths and the case fatality rate (CFR) was 1.0% nationally' - interpreted as 9548 sCh and 100 deaths national total for 2012. National total — includes all provinces",AI
5,AFR::GHA::Eastern::Akatsi,2012-09-11,2012-09-26,5,422,,1.2,2012-09-26,2,PMC Assessment Response Cholera Two Districts Ghana 2012,0.95,"Source states: '422 (418 analyzed), Deaths: 5, CFR: 1.2%, Duration: September 11-26, 2012' - Akatsi district outbreak - interpreted as 422 sCh 5 deaths. Provincial subset — do not sum with national row",AI
6,AFR::GHA::Central::KEEA,2012-11-04,2012-11-19,6,32,,18.8,2012-11-19,2,PMC Assessment Response Cholera Two Districts Ghana 2012,0.8,"Source states: '32 (district records showed 38), Deaths: 6, CFR: 18.8%, Duration: November 4-19, 2012' - KEEA Municipal outbreak - interpreted as 32 sCh 6 deaths. CFR >15% flagged: small outbreak with 6 deaths, humanitarian/limited treatment access context documented. Provincial subset — do not sum with national row",AI
7,AFR::GHA::Brong_Ahafo,2014-07-30,2014-12-31,25,1035,153,2.4,2015-01-31,4,PMC Brong Ahafo Cholera Outbreak 2014,0.95,"Source states: 'Total cases: 1,035, Deaths: 25, Case Fatality Rate (CFR): 2.4%, 153 (76.9%) were confirmed positive for Vibrio cholera' - Brong Ahafo region 2014 outbreak - interpreted as 1035 sCh 153 cCh 25 deaths. Provincial subset — do not sum with national row",AI
8,AFR::GHA,2015-01-01,2015-12-31,10,687,,1.5,2015-12-31,7,WHO AFRO Ghana Cholera Support 2014,0.9,"Source states: 'in 2015, the number of Cholera cases reported fell to 687, with 10 fatalities' after the 2014 epidemic - interpreted as 687 sCh 10 deaths for 2015. National total",AI
9,AFR::GHA,2016-01-01,2016-12-31,0,720,,0.0,2016-12-31,5,Graphic Online Ghana Cholera 720 Cases 2016,0.8,"Source states: 'the total number of cholera cases recorded in 2016 to 720' with no deaths - interpreted as 720 sCh 0 deaths for full year 2016. National total",AI
10,AFR::GHA::Central::Cape_Coast,2016-10-17,2017-01-04,0,704,123,0.0,2017-01-04,6,PMC Protracted Cholera Outbreak Central Region Ghana 2016,0.95,"Source states: 'Total cases: 704 case-patients with no mortality, 123 (37.2%) were confirmed culture positive, Duration: 12 weeks (October 17 - January 4, 2017)' - Cape Coast Metropolis outbreak - interpreted as 704 sCh 123 cCh 0 deaths. Provincial subset — do not sum with national row for 2016",AI
