Index,Location,TL,TR,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,processing_notes,source_database
1,AFR::GIN,1986-01-01,1986-12-31,43,1169,,3.7,1987-01-01,8,Cholera West Africa Risk Factors 1986 AJPH,0.85,"Source states: '43 deaths occurred among the 1169 persons who reported to health centers with cholera during the epidemic (CFR = 3.7%)' - interpreted as 1169 sCh cases with 43 deaths in 1986 Guinea epidemic. Data from risk factor study conducted during epidemic in Guinea West Africa.",AI
2,AFR::GIN::N'zerekore,2001-08-06,2001-09-23,12,155,,7.7,2001-09-26,1,WHO Disease Outbreak News 2001 Guinea Cholera,0.95,"Source states: '155 cases, including 12 deaths have been reported from 6 August to 23 September in N'zerekore region in the south-eastern part of the country' - interpreted as 155 sCh with 12 deaths. N'zerekore borders Cote d'Ivoire to east and Liberia to south. WHO official outbreak notification.",AI
3,AFR::GIN,2004-01-01,2004-08-31,31,333,,9.3,2004-09-01,9,WHO Cholera Outbreaks 2004 Annual Report,0.85,"Source states: 'Guinea had reported 333 cases of cholera and 31 deaths up to 31 Aug 2004' - interpreted as 333 sCh cases with 31 deaths reported to WHO as of August 31 2004. Partial year data from WHO 2004 annual report.",AI
4,AFR::GIN,2005-04-01,2005-12-31,,3797,,,2006-01-01,3,Guinea Cholera Safe Water Sources and Sanitations SCIRP,0.75,"Source states epidemic hit Guinea starting April 2005. OCHA report states 102 deaths among 3797 cases in Moyenne Guinea and Conakry from April-December 2005 with no new cases since November. Interpreted as 3797 sCh cases. Processing note: partial year data, outbreak began April 2005.",AI
5,AFR::GIN,2006-01-01,2006-07-31,143,1623,,8.8,2006-08-20,3,Guinea Cholera Safe Water Sources and Sanitations SCIRP,0.85,"Source states: 'From January to July 2006, the Public Health Ministry notified 1,623 cases of which 143 died' - interpreted as 1623 sCh with 143 deaths. ReliefWeb confirmed: report dated August 20 2006 from Guinea Ministry of Public Health via UN OCHA. Partial year data January-July 2006.",AI
6,AFR::GIN,2007-01-01,2007-12-31,295,8289,,3.6,2008-01-01,6,Feasibility Mass Vaccination OCV Guinea 2012 PLOS Medicine,0.85,"Source states: 'Guinea experienced a previous major epidemic in 2007 with 8,289 cases and 295 deaths' - interpreted as 8289 sCh with 295 deaths for full year 2007. SCIRP paper on Guinea cholera 2000-2012 corroborates this as major outbreak year within 2004-2008 period.",AI
7,AFR::GIN,2004-01-01,2008-12-31,786,17638,,4.5,2009-01-01,2,Deciphering Origin 2012 Cholera Epidemic Guinea PLOS NTD,0.80,"Source states: 'In 2004-2008, Guinea was struck by a succession of regional cholera outbreaks responsible for 17,638 reported cases and 786 deaths' - interpreted as 17638 sCh with 786 deaths aggregate 2004-2008. Processing note: This is a multi-year aggregate covering 5 years. Individual year data available for 2004 (333 cases), 2006 (1623 partial), 2007 (8289). confidence_weight reduced for multi-year aggregate. Do not sum with individual year rows without checking for overlap.",AI
8,AFR::GIN,2009-01-01,2011-12-31,0,0,,0.0,2012-01-01,2,Deciphering Origin 2012 Cholera Epidemic Guinea PLOS NTD,0.90,"Source states: 'A three-year lull period was observed from 2009 to 2011' and 'Investigations found that the lack of cholera during a lull period is not due to inadequate surveillance or laboratory incompetence but simply due to the absence of cholera cases' - confirmed zero-transmission. Evidence type: Documented_Absence from peer-reviewed academic study. Surveillance system status: operational (early cholera alert system established 2009). CFR=0 reflects confirmed zero-transmission period.",AI
9,AFR::GIN,2012-02-02,2013-02-06,133,7350,,1.8,2013-02-07,2,Deciphering Origin 2012 Cholera Epidemic Guinea PLOS NTD,0.95,"Source states: 'The 2012 epidemic was officially responsible for 7,350 suspected cases and 133 deaths. CFR: 1.8%' - interpreted as 7350 sCh with 133 deaths. Outbreak started February 2 2012 on Kaback Island Forecariah prefecture (index case fisherman from Sierra Leone). Epidemic ended February 6 2013. National level data.",AI
10,AFR::GIN::Conakry,2011-08-01,2013-12-31,15,4585,55,0.3,2014-01-01,5,Cholera Incidence AFRICHOL Multi-country Surveillance PLOS NTD,0.90,"Source states: '34% (4,585) in Conakry, Guinea' of all AFRICHOL study cases. '15 deaths among suspected cases' in Conakry. 55 culture-confirmed cases. CFR 1.2% overall period - epidemic period CFR 0.3%. AFRICHOL enhanced surveillance August 2011-December 2013 in all 5 Conakry districts. Processing note: Conakry subset overlaps with national 2012 data in row 9. Do not sum with national row for same period.",AI
11,AFR::GIN,2024-01-01,2025-05-14,0,0,,0.0,2025-05-14,7,WHO Multi-country Cholera Situation Report 2024 AFRO,0.85,"Source states: WHO AFRO weekly bulletin March 2024 confirms Guinea not listed among 13 countries with active cholera transmission. WHO global DON February 2023 confirms Guinea absent from 18 active outbreak countries. Evidence type: Documented_Absence from WHO surveillance. Surveillance system status: operational DHIS2 since 2018. CFR=0 reflects confirmed absence from WHO surveillance.",AI
