Index,Location,TL,TR,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,processing_notes,source_database
1,AFR::GNB,2008-05-01,2008-09-21,133,7166,,1.9,2008-09-21,13,JHU Cholera Database (UID: 11520),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 7166 cases, 133 deaths",JHU
2,AFR::GNB::GW-BM,1994-10-20,1994-10-20,,1,,,1994-10-20,17,JHU Cholera Database (UID: 13864),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 1 cases",JHU
3,AFR::GNB::GW-BM,1994-10-21,1994-10-21,,1,,,1994-10-21,17,JHU Cholera Database (UID: 13864),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 1 cases",JHU
4,AFR::GNB::GW-BM,1994-10-22,1994-10-22,,4,,,1994-10-22,17,JHU Cholera Database (UID: 13864),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 4 cases",JHU
5,AFR::GNB::GW-BM,1994-10-23,1994-10-23,,1,,,1994-10-23,17,JHU Cholera Database (UID: 13864),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 1 cases",JHU
6,AFR::GNB::GW-BM,1994-10-24,1994-10-24,,1,,,1994-10-24,17,JHU Cholera Database (UID: 13864),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 1 cases",JHU
7,AFR::GNB::GW-BM,1994-10-25,1994-10-25,,0,,,1994-10-25,17,JHU Cholera Database (UID: 13864),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 0 cases",JHU
8,AFR::GNB::GW-BM,1994-10-26,1994-10-26,,9,,,1994-10-26,17,JHU Cholera Database (UID: 13864),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 9 cases",JHU
9,AFR::GNB::GW-BM,1994-10-27,1994-10-27,,7,,,1994-10-27,17,JHU Cholera Database (UID: 13864),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 7 cases",JHU
10,AFR::GNB::GW-BM,1994-10-28,1994-10-28,,14,,,1994-10-28,17,JHU Cholera Database (UID: 13864),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 14 cases",JHU
11,AFR::GNB::GW-BM,1994-10-29,1994-10-29,,16,,,1994-10-29,17,JHU Cholera Database (UID: 13864),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 16 cases",JHU
12,AFR::GNB::GW-BM,1994-10-30,1994-10-30,,16,,,1994-10-30,17,JHU Cholera Database (UID: 13864),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 16 cases",JHU
13,AFR::GNB::GW-BM,1994-10-31,1994-10-31,,18,,,1994-10-31,17,JHU Cholera Database (UID: 13864),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 18 cases",JHU
