Index,Location,TL,TR,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,processing_notes,source_database
1,AFR::KEN,2023-01-02,2023-01-08,,,,,2023-01-08,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 0.0 cases, 0.0 deaths reported for week 1 of 2023. Converted from weekly surveillance data.",WHO
2,AFR::KEN,2023-01-09,2023-01-15,,,,,2023-01-15,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 0.0 cases, 0.0 deaths reported for week 2 of 2023. Converted from weekly surveillance data.",WHO
3,AFR::KEN,2023-01-16,2023-01-22,18.0,880.0,,2.05,2023-01-22,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 880.0 cases, 18.0 deaths reported for week 3 of 2023. Converted from weekly surveillance data.",WHO
4,AFR::KEN,2023-01-23,2023-01-29,4.0,109.0,,3.67,2023-01-29,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 109.0 cases, 4.0 deaths reported for week 4 of 2023. Converted from weekly surveillance data.",WHO
5,AFR::KEN,2023-01-30,2023-02-05,1.0,232.0,,0.43,2023-02-05,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 232.0 cases, 1.0 deaths reported for week 5 of 2023. Converted from weekly surveillance data.",WHO
6,AFR::KEN,2023-02-06,2023-02-12,,109.0,,0.0,2023-02-12,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 109.0 cases, 0.0 deaths reported for week 6 of 2023. Converted from weekly surveillance data.",WHO
7,AFR::KEN,2023-02-13,2023-02-19,2.0,185.0,,1.08,2023-02-19,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 185.0 cases, 2.0 deaths reported for week 7 of 2023. Converted from weekly surveillance data.",WHO
8,AFR::KEN,2023-02-20,2023-02-26,4.0,558.0,,0.72,2023-02-26,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 558.0 cases, 4.0 deaths reported for week 8 of 2023. Converted from weekly surveillance data.",WHO
9,AFR::KEN,2023-02-27,2023-03-05,10.0,1012.0,,0.99,2023-03-05,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 1012.0 cases, 10.0 deaths reported for week 9 of 2023. Converted from weekly surveillance data.",WHO
10,AFR::KEN,2023-03-06,2023-03-12,10.0,536.0,,1.87,2023-03-12,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 536.0 cases, 10.0 deaths reported for week 10 of 2023. Converted from weekly surveillance data.",WHO
