Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Validation_Status,Search_Technique,Language_Original,Citation_Depth,Cross_References,Discovery_Method
1,"WHO Disease Outbreak News - Cholera in Mali update 2",https://www.who.int/emergencies/disease-outbreak-news/item/2003_12_17c-en,"WHO official outbreak report with detailed case counts by region for 2003 Mali cholera epidemic",2003,Official_Surveillance,Verified,Level_1,Validated,WHO_Institutional_Search,English,0,WHO_GHO,WebSearch_WHO_Site
2,"Mali: Cholera Outbreak - Jul 2011 ReliefWeb",https://reliefweb.int/disaster/ep-2011-000112-mli,"ReliefWeb disaster report documenting 2011 cholera outbreak in Mopti and Tombouctou regions",2011,Humanitarian_Report,Verified,Level_2,Validated,Humanitarian_Search,English,0,IFRC_Report,WebSearch_ReliefWeb
3,"Epidemic cholera in Mali 1984 - PubMed",https://pubmed.ncbi.nlm.nih.gov/3356224/,"Academic study documenting severe 1984 cholera epidemic with detailed epidemiological analysis",1984,Academic_Study,Verified,Level_1,Validated,Academic_Literature_Search,English,0,PMC_Articles,WebSearch_PubMed
4,"Cholera Epidemics in Mali between 1995 and 2004 - PubMed",https://pubmed.ncbi.nlm.nih.gov/19863017/,"Comprehensive retrospective survey of Mali cholera epidemics covering 1995-2004 period with total surveillance data",1995-2004,Academic_Study,Verified,Level_1,Validated,Academic_Literature_Search,French,0,Cairn_International,WebSearch_Academic
5,"Les épidémies de choléra au Mali de 1995 à 2004 - Cairn.info",https://www.cairn.info/revue-sante-publique-2009-3-page-263.htm,"French academic study documenting 1996 major epidemic and annual pattern since 2001",1995-2004,Academic_Study,Verified,Level_1,Validated,French_Literature_Search,French,0,Ministry_Health_Mali,WebSearch_French
6,"Mali cholera border Niger Burkina transmission - Academic Study",https://www.cairn-int.info/abstract-E_SPUB_093_0263--cholera-epidemics-in-mali-between-1995.htm,"Cross-border cholera transmission data along Niger River with annual case counts 2001-2004",2001-2004,Academic_Study,Verified,Level_1,Validated,Cross_Border_Analysis,English,0,Regional_Networks,WebSearch_Regional
7,"Mali cholera zero transmission validation 1997-1998",https://www.cairn.info/revue-sante-publique-2009-3-page-263.htm,"Validated absence of cholera cases in Mali during 1997-1998 period between major epidemics",1997-1998,Academic_Study,Verified,Level_1,Validated,Zero_Transmission_Validation,French,0,Ministry_Surveillance,WebSearch_Historical
8,"Seventh cholera pandemic introduction Mali 1970",https://en.wikipedia.org/wiki/Seventh_cholera_pandemic,"Historical documentation of cholera first appearance in Mali November 1970 in Mopti during seventh pandemic",1970,Historical_Documentation,Verified,Level_1,Validated,Historical_Pandemic_Research,English,0,WHO_Pandemic_Records,WebSearch_Historical
9,"MSF Mali cholera response historical",https://www.msf.org/msf-mali-fight-cholera-epidemic,"MSF humanitarian response with detailed case numbers and geographical spread along Niger River",2000s,Humanitarian_Report,Verified,Level_2,Validated,Humanitarian_Response_Search,English,0,MSF_Archives,WebSearch_Humanitarian
10,"Mali regional cholera breakdown 1995-2004 geographic expansion",https://www.cairn-int.info/abstract-E_SPUB_093_0263--cholera-epidemics-in-mali-between-1995.htm,"Regional-level cholera case distribution showing Mopti Tombouctou Gao administrative breakdown",1995-2004,Academic_Study,Verified,Level_1,Validated,Geographic_Expansion_Search,English,0,Academic_Literature,WebSearch_Regional
