Index,Location,TL,TR,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,processing_notes
1,AFR::MWI,2022-03-03,2024-07-18,1774,59334,,3.0,2024-07-18,1,WHO Disease Outbreak News - Malawi Cholera 2023,1.0,"Source states: '59,334 cumulative cases' and '1,774 deaths' with 'CFR 3.0%' - interpreted as sCh cases. Deadliest outbreak in Malawi's history affecting all 29 districts."
2,AFR::MWI,2022-03-03,2023-02-03,1210,36943,,3.3,2023-02-03,1,WHO Disease Outbreak News - Malawi Cholera 2023,1.0,"Source states: '36,943 cases including 1,210 deaths' with 'overall case fatality rate (CFR) of 3.3%' - interpreted as sCh cases for specific reporting period."
3,AFR::MWI,2001-10-01,2002-04-30,968,33546,,3.0,2002-04-30,4,PubMed Historical Cholera Study,0.9,"Source states: '33 546 cases and 968 deaths (CFR 3%)' for 2001/02 outbreak - interpreted as sCh cases. Affected 26 of 29 districts."
4,AFR::MWI,2000-01-01,2000-12-31,19,723,,2.6,2000-12-31,4,PubMed Historical Cholera Study,0.9,"Source states: 'In Malawi, 723 cases have been reported with 19 deaths' for year 2000 - interpreted as sCh cases."
5,AFR::MWI,2008-01-01,2009-12-31,125,5751,,2.2,2009-12-31,4,PubMed Historical Cholera Study,0.9,"Source states: '2008/09 (5751 cases, 125 deaths, CFR 2.2%)' - interpreted as sCh cases for 2008-2009 outbreak period."
6,AFR::MWI::Lake_Chilwa,2009-05-01,2010-05-31,21,1171,,1.1,2010-05-31,5,PMC Lake Chilwa Outbreak Study,0.9,"Source states: 'A total of 1,171 cholera cases and 21 deaths were reported' with 'case fatality rate: 1.1%' - interpreted as sCh cases in fishing communities around Lake Chilwa."
7,AFR::MWI,1998-01-01,1999-12-31,860,25000,,3.4,1999-12-31,4,PubMed Historical Cholera Study,0.9,"Source states: '1998/99 (25 000 cases, 860 deaths, CFR 3.4%)' - interpreted as sCh cases for major 1998-1999 outbreak."
8,AFR::MWI::Mangochi,2022-03-03,2023-02-03,114,6974,,1.6,2023-02-03,8,ReliefWeb Malawi Cholera Flash Appeal 2023,0.8,"Source states: 'Mangochi district reporting 6,974 cases and 114 deaths (case fatality rate of 1.6%)' - interpreted as sCh cases for most affected district."
9,AFR::MWI::Machinga,2022-03-03,2023-03-31,86,2303,,3.7,2023-03-31,8,ReliefWeb Malawi Cholera Flash Appeal 2023,0.8,"Source states: 'Machinga district has reported 2,303 cases and 86 deaths' - interpreted as sCh cases for outbreak origin district."
10,AFR::MWI,2011-01-01,2012-12-31,38,1806,,2.1,2012-12-31,4,PubMed Historical Cholera Study,0.9,"Source states: '2011/2012 cholera outbreak affecting 10 out of 13 districts, where 1,806 cases and 38 deaths (CFR 2.1%) were reported' - interpreted as sCh cases."
