Index,Location,TL,TR,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,processing_notes,source_database
1,AFR::MWI,2017-11-20,2018-03-28,26,844,78,3.1,2018-03-28,27,WHO AFRO Surveillance Report (UID: 20845),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 844 cases, 26 deaths",JHU
2,AFR::MWI,2018-03-19,2018-03-25,1,31,,3.2,2018-03-25,27,WHO AFRO Surveillance Report (UID: 20845),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 31 cases, 1 deaths",JHU
3,AFR::MWI::Northern::Karonga,2018-03-19,2018-03-25,,2,,,2018-03-25,27,WHO AFRO Surveillance Report (UID: 20845),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 2 cases",JHU
4,AFR::MWI::Central::Lilongwe,2018-03-19,2018-03-25,1,24,,4.2,2018-03-25,27,WHO AFRO Surveillance Report (UID: 20845),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 24 cases, 1 deaths",JHU
5,AFR::MWI::Central::Salima,2018-03-19,2018-03-25,,5,,,2018-03-25,27,WHO AFRO Surveillance Report (UID: 20845),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 5 cases",JHU
6,AFR::MWI,2018-03-12,2018-03-18,2,55,,3.6,2018-03-18,27,WHO AFRO Surveillance Report (UID: 20845),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 55 cases, 2 deaths",JHU
7,AFR::MWI,2022-01-01,2022-10-31,183,6056,,3.0,2022-10-31,24,JHU Cholera Database (UID: 21385),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 6056 cases, 183 deaths",JHU
8,AFR::MWI::Southern::Chikwawa,2017-07-23,2017-10-22,0,52,3,0.0,2017-10-22,16,WHO AFRO Surveillance Report (UID: 20702),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 52 cases, 0 deaths",JHU
9,AFR::MWI::Southern::Chikwawa,2017-10-16,2017-10-22,0,3,,0.0,2017-10-22,16,WHO AFRO Surveillance Report (UID: 20702),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 3 cases, 0 deaths",JHU
10,AFR::MWI,2022-01-01,2022-12-20,,13837,,,2022-12-20,20,JHU Cholera Database (UID: 21384),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 13837 cases",JHU
11,AFR::MWI,2017-11-20,2018-04-01,27,874,78,3.1,2018-04-01,22,WHO AFRO Surveillance Report (UID: 20852),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 874 cases, 27 deaths",JHU
12,AFR::MWI,2018-03-26,2018-04-01,1,31,,3.2,2018-04-01,22,WHO AFRO Surveillance Report (UID: 20852),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 31 cases, 1 deaths",JHU
13,AFR::MWI,2018-03-26,2018-04-01,1,30,,3.3,2018-04-01,22,WHO AFRO Surveillance Report (UID: 20852),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 30 cases, 1 deaths",JHU
14,AFR::MWI::Central::Salima,2018-03-26,2018-04-01,,2,,,2018-04-01,22,WHO AFRO Surveillance Report (UID: 20852),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 2 cases",JHU
15,AFR::MWI::Central::Lilongwe,2018-03-26,2018-04-01,1,28,,3.6,2018-04-01,22,WHO AFRO Surveillance Report (UID: 20852),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 28 cases, 1 deaths",JHU
16,AFR::MWI::Southern::Nsanje,2011-11-01,2012-10-31,8,463,,1.7,2012-10-31,37,JHU Cholera Database (UID: 21231),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 463 cases, 8 deaths",JHU
17,AFR::MWI::Southern::Chikwawa,2011-11-01,2012-10-31,3,182,,1.6,2012-10-31,37,JHU Cholera Database (UID: 21231),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 182 cases, 3 deaths",JHU
18,AFR::MWI::Southern::Blantyre,2011-11-01,2012-10-31,15,370,,4.1,2012-10-31,37,JHU Cholera Database (UID: 21231),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 370 cases, 15 deaths",JHU
19,AFR::MWI::Southern::Machinga,2011-11-01,2012-10-31,4,124,,3.2,2012-10-31,37,JHU Cholera Database (UID: 21231),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 124 cases, 4 deaths",JHU
20,AFR::MWI::Southern::Phalombe,2011-11-01,2012-10-31,2,204,,1.0,2012-10-31,37,JHU Cholera Database (UID: 21231),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 204 cases, 2 deaths",JHU
21,AFR::MWI::Southern::Zomba,2011-11-01,2012-10-31,3,234,,1.3,2012-10-31,37,JHU Cholera Database (UID: 21231),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 234 cases, 3 deaths",JHU
22,AFR::MWI::Southern::Thyolo,2011-11-01,2012-10-31,2,45,,4.4,2012-10-31,37,JHU Cholera Database (UID: 21231),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 45 cases, 2 deaths",JHU
23,AFR::MWI::Central::Lilongwe,2018-04-23,2018-04-29,0,11,,0.0,2018-04-29,19,WHO AFRO Surveillance Report (UID: 20885),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 11 cases, 0 deaths",JHU
24,AFR::MWI::Central::Lilongwe,2018-04-16,2018-04-22,,14,,,2018-04-22,19,WHO AFRO Surveillance Report (UID: 20885),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 14 cases",JHU
25,AFR::MWI,2017-11-24,2018-04-29,30,929,195,3.2,2018-04-29,19,WHO AFRO Surveillance Report (UID: 20885),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 929 cases, 30 deaths",JHU
26,AFR::MWI,2017-11-24,2018-04-29,,650,,,2018-04-29,19,WHO AFRO Surveillance Report (UID: 20885),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 650 cases",JHU
27,AFR::MWI,2017-11-24,2018-04-29,,177,,,2018-04-29,19,WHO AFRO Surveillance Report (UID: 20885),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 177 cases",JHU
28,AFR::MWI,2017-11-24,2018-04-29,,102,,,2018-04-29,19,WHO AFRO Surveillance Report (UID: 20885),0.68,"Converted from JHU database. Primary: True, Phantom: True - JHU reported 102 cases",JHU
29,AFR::MWI,2017-11-24,2018-04-29,,457,,,2018-04-29,19,WHO AFRO Surveillance Report (UID: 20885),0.68,"Converted from JHU database. Primary: True, Phantom: True - JHU reported 457 cases",JHU
30,AFR::MWI,2017-11-24,2018-04-29,,472,,,2018-04-29,19,WHO AFRO Surveillance Report (UID: 20885),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 472 cases",JHU
31,AFR::MWI::(Central##Lilongwe|Northern##Karonga),2017-11-24,2018-04-29,25,734,,3.4,2018-04-29,19,WHO AFRO Surveillance Report (UID: 20885),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 734 cases, 25 deaths",JHU
32,AFR::MWI,2017-11-27,2017-12-03,,3,,,2017-12-03,19,WHO AFRO Surveillance Report (UID: 20885),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 3 cases",JHU
33,AFR::MWI,2017-12-04,2017-12-10,,8,,,2017-12-10,19,WHO AFRO Surveillance Report (UID: 20885),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 8 cases",JHU
34,AFR::MWI,2017-12-11,2017-12-17,,40,,,2017-12-17,19,WHO AFRO Surveillance Report (UID: 20885),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 40 cases",JHU
35,AFR::MWI,2017-12-18,2017-12-24,,31,,,2017-12-24,19,WHO AFRO Surveillance Report (UID: 20885),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 31 cases",JHU
36,AFR::MWI,2017-12-25,2017-12-31,,61,,,2017-12-31,19,WHO AFRO Surveillance Report (UID: 20885),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 61 cases",JHU
37,AFR::MWI,2018-01-01,2018-01-07,,46,,,2018-01-07,19,WHO AFRO Surveillance Report (UID: 20885),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 46 cases",JHU
38,AFR::MWI,2018-01-08,2018-01-14,,67,,,2018-01-14,19,WHO AFRO Surveillance Report (UID: 20885),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 67 cases",JHU
39,AFR::MWI,2018-01-15,2018-01-21,,23,,,2018-01-21,19,WHO AFRO Surveillance Report (UID: 20885),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 23 cases",JHU
40,AFR::MWI,2018-01-22,2018-01-28,,23,,,2018-01-28,19,WHO AFRO Surveillance Report (UID: 20885),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 23 cases",JHU
41,AFR::MWI,2018-01-29,2018-02-04,,74,,,2018-02-04,19,WHO AFRO Surveillance Report (UID: 20885),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 74 cases",JHU
42,AFR::MWI,2018-02-05,2018-02-11,,68,,,2018-02-11,19,WHO AFRO Surveillance Report (UID: 20885),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 68 cases",JHU
43,AFR::MWI,2018-02-12,2018-02-18,,96,,,2018-02-18,19,WHO AFRO Surveillance Report (UID: 20885),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 96 cases",JHU
44,AFR::MWI,2018-02-19,2018-02-25,,96,,,2018-02-25,19,WHO AFRO Surveillance Report (UID: 20885),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 96 cases",JHU
45,AFR::MWI,2018-02-26,2018-03-04,,76,,,2018-03-04,19,WHO AFRO Surveillance Report (UID: 20885),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 76 cases",JHU
