Index,Source,URL,Description,TL,TR,Reliability_Level,source_database
1,JHU Cholera Database (UID: 69),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Sierra Leone/ObservationCollection69.csv,JHU cholera database entry with 86 observations. Frequency: Weekly. Updated: 2024-02-09,2012-01-02,2012-10-28,2,JHU
2,UNICEF Country Programme Report (UID: 5118),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Sierra Leone/ObservationCollection5118.csv,JHU cholera database entry with 817 observations. Frequency: Weekly. Updated: 2025-04-27 Source tags: UNICEFcp,2014-12-29,2024-03-24,2,JHU
3,UNICEF Country Programme Report (UID: 21445),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Sierra Leone/ObservationCollection21445.csv,JHU cholera database entry with 600 observations. Frequency: Weekly. Updated: 2025-04-27 Source tags: UNICEFcp,2018-01-01,2019-03-10,2,JHU
4,JHU Cholera Database (UID: 61),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Sierra Leone/ObservationCollection61.csv,JHU cholera database entry with 1 observations. Frequency: Other (9). Updated: 2025-03-17,2006-06-24,2006-07-03,2,JHU
5,JHU Cholera Database (UID: 810),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Sierra Leone/ObservationCollection810.csv,JHU cholera database entry with 69 observations. Frequency: Other (75). Updated: 2025-03-17,2012-01-01,2013-02-11,2,JHU
6,JHU Cholera Database (UID: 62),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Sierra Leone/ObservationCollection62.csv,JHU cholera database entry with 3 observations. Frequency: Other (64). Updated: 2025-03-17,2006-08-15,2006-10-18,2,JHU
7,JHU Cholera Database (UID: 66),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Sierra Leone/ObservationCollection66.csv,JHU cholera database entry with 1 observations. Frequency: Other (4). Updated: 2024-02-09,2012-06-15,2012-06-19,2,JHU
8,JHU Cholera Database (UID: 10016),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Sierra Leone/ObservationCollection10016.csv,JHU cholera database entry with 14 observations. Frequency: Other (282). Updated: 2025-03-17,2012-01-01,2012-12-09,2,JHU
9,JHU Cholera Database (UID: 10343),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Sierra Leone/ObservationCollection10343.csv,JHU cholera database entry with 1 observations. Frequency: Other (263). Updated: 2024-02-09,2012-01-01,2012-09-20,2,JHU
10,JHU Cholera Database (UID: 20410),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Sierra Leone/ObservationCollection20410.csv,JHU cholera database entry with 1 observations. Frequency: Other (259). Updated: 2024-02-09,2012-01-01,2012-09-16,2,JHU
11,JHU Cholera Database (UID: 20409),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Sierra Leone/ObservationCollection20409.csv,JHU cholera database entry with 2 observations. Frequency: Other (248). Updated: 2025-03-17,2012-01-01,2012-09-05,2,JHU
12,JHU Cholera Database (UID: 10369),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Sierra Leone/ObservationCollection10369.csv,JHU cholera database entry with 1 observations. Frequency: Other (242). Updated: 2024-02-25,2012-01-01,2012-08-30,2,JHU
13,JHU Cholera Database (UID: 20408),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Sierra Leone/ObservationCollection20408.csv,JHU cholera database entry with 1 observations. Frequency: Other (242). Updated: 2024-02-09,2012-01-01,2012-08-30,2,JHU
14,JHU Cholera Database (UID: 20560),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Sierra Leone/ObservationCollection20560.csv,JHU cholera database entry with 2 observations. Frequency: Other (24). Updated: 2024-02-09,2012-06-23,2012-07-17,2,JHU
15,JHU Cholera Database (UID: 20103),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Sierra Leone/ObservationCollection20103.csv,JHU cholera database entry with 2 observations. Frequency: Other (196). Updated: 2024-02-09,2012-01-01,2012-12-31,2,JHU
16,JHU Cholera Database (UID: 60),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Sierra Leone/ObservationCollection60.csv,JHU cholera database entry with 1 observations. Frequency: Other (18). Updated: 2025-03-17,2006-01-01,2006-01-19,2,JHU
