Index,Location,TL,TR,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,processing_notes,source_database
1,AFR::SOM,2023-01-02,2023-01-08,1.0,234,,0.43,2023-01-08,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 234.0 cases, 1.0 deaths reported for week 1 of 2023. Converted from weekly surveillance data.",WHO
2,AFR::SOM,2023-01-09,2023-01-15,1.0,238,,0.42,2023-01-15,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 238.0 cases, 1.0 deaths reported for week 2 of 2023. Converted from weekly surveillance data.",WHO
3,AFR::SOM,2023-01-16,2023-01-22,,218,,,2023-01-22,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 218.0 cases, nan deaths reported for week 3 of 2023. Converted from weekly surveillance data.",WHO
4,AFR::SOM,2023-01-23,2023-01-29,,202,,0.0,2023-01-29,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 202.0 cases, 0.0 deaths reported for week 4 of 2023. Converted from weekly surveillance data.",WHO
5,AFR::SOM,2023-01-30,2023-02-05,,195,,0.0,2023-02-05,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 195.0 cases, 0.0 deaths reported for week 5 of 2023. Converted from weekly surveillance data.",WHO
6,AFR::SOM,2023-02-06,2023-02-12,,194,,0.0,2023-02-12,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 194.0 cases, 0.0 deaths reported for week 6 of 2023. Converted from weekly surveillance data.",WHO
7,AFR::SOM,2023-02-13,2023-02-19,,223,,0.0,2023-02-19,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 223.0 cases, 0.0 deaths reported for week 7 of 2023. Converted from weekly surveillance data.",WHO
8,AFR::SOM,2023-02-20,2023-02-26,3.0,341,,0.88,2023-02-26,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 341.0 cases, 3.0 deaths reported for week 8 of 2023. Converted from weekly surveillance data.",WHO
9,AFR::SOM,2023-02-27,2023-03-05,1.0,327,,0.31,2023-03-05,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 327.0 cases, 1.0 deaths reported for week 9 of 2023. Converted from weekly surveillance data.",WHO
10,AFR::SOM,2023-03-06,2023-03-12,2.0,401,,0.5,2023-03-12,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 401.0 cases, 2.0 deaths reported for week 10 of 2023. Converted from weekly surveillance data.",WHO
11,AFR::SOM,2023-03-13,2023-03-19,3.0,407,,0.74,2023-03-19,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 407.0 cases, 3.0 deaths reported for week 11 of 2023. Converted from weekly surveillance data.",WHO
12,AFR::SOM,2023-03-20,2023-03-26,4.0,448,,0.89,2023-03-26,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 448.0 cases, 4.0 deaths reported for week 12 of 2023. Converted from weekly surveillance data.",WHO
13,AFR::SOM,2023-03-27,2023-04-02,1.0,604,,0.17,2023-04-02,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 604.0 cases, 1.0 deaths reported for week 13 of 2023. Converted from weekly surveillance data.",WHO
14,AFR::SOM,2023-04-03,2023-04-09,,630,,0.0,2023-04-09,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 630.0 cases, 0.0 deaths reported for week 14 of 2023. Converted from weekly surveillance data.",WHO
15,AFR::SOM,2023-04-10,2023-04-16,2.0,867,,0.23,2023-04-16,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 867.0 cases, 2.0 deaths reported for week 15 of 2023. Converted from weekly surveillance data.",WHO
16,AFR::SOM,2023-04-17,2023-04-23,2.0,776,,0.26,2023-04-23,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 776.0 cases, 2.0 deaths reported for week 16 of 2023. Converted from weekly surveillance data.",WHO
17,AFR::SOM,2023-04-24,2023-04-30,2.0,618,,0.32,2023-04-30,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 618.0 cases, 2.0 deaths reported for week 17 of 2023. Converted from weekly surveillance data.",WHO
18,AFR::SOM,2023-05-01,2023-05-07,3.0,519,,0.58,2023-05-07,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 519.0 cases, 3.0 deaths reported for week 18 of 2023. Converted from weekly surveillance data.",WHO
19,AFR::SOM,2023-05-08,2023-05-14,2.0,531,,0.38,2023-05-14,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 531.0 cases, 2.0 deaths reported for week 19 of 2023. Converted from weekly surveillance data.",WHO
20,AFR::SOM,2023-05-15,2023-05-21,,535,,0.0,2023-05-21,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 535.0 cases, 0.0 deaths reported for week 20 of 2023. Converted from weekly surveillance data.",WHO
