iso_code,year,iso_week,week_start,week_end,sCh,deaths,source,confidence_weight,disaggregation_method
TCD,1971,1,1971-01-04,1971-01-10,71.7525,21.0201,JHU,0.5,fourier_country_k1
TCD,1971,2,1971-01-11,1971-01-17,45.091,13.2095,JHU,0.5,fourier_country_k1
TCD,1971,3,1971-01-18,1971-01-24,19.8068,5.8025,JHU,0.5,fourier_country_k1
TCD,1971,4,1971-01-25,1971-01-31,0.0,0.0,JHU,0.5,fourier_country_k1
TCD,1971,5,1971-02-01,1971-02-07,0.0,0.0,JHU,0.5,fourier_country_k1
TCD,1971,6,1971-02-08,1971-02-14,0.0,0.0,JHU,0.5,fourier_country_k1
TCD,1971,7,1971-02-15,1971-02-21,0.0,0.0,JHU,0.5,fourier_country_k1
TCD,1971,8,1971-02-22,1971-02-28,0.0,0.0,JHU,0.5,fourier_country_k1
TCD,1971,9,1971-03-01,1971-03-07,0.0,0.0,JHU,0.5,fourier_country_k1
TCD,1971,10,1971-03-08,1971-03-14,0.0,0.0,JHU,0.5,fourier_country_k1
TCD,1971,11,1971-03-15,1971-03-21,0.0,0.0,JHU,0.5,fourier_country_k1
TCD,1971,12,1971-03-22,1971-03-28,0.0,0.0,JHU,0.5,fourier_country_k1
TCD,1971,13,1971-03-29,1971-04-04,0.0,0.0,JHU,0.5,fourier_country_k1
TCD,1971,14,1971-04-05,1971-04-11,0.0,0.0,JHU,0.5,fourier_country_k1
TCD,1971,15,1971-04-12,1971-04-18,0.0,0.0,JHU,0.5,fourier_country_k1
TCD,1971,16,1971-04-19,1971-04-25,0.0,0.0,JHU,0.5,fourier_country_k1
TCD,1971,17,1971-04-26,1971-05-02,0.0,0.0,JHU,0.5,fourier_country_k1
TCD,1971,18,1971-05-03,1971-05-09,0.0,0.0,JHU,0.5,fourier_country_k1
TCD,1971,19,1971-05-10,1971-05-16,0.0,0.0,JHU,0.5,fourier_country_k1
TCD,1971,20,1971-05-17,1971-05-23,15.8567,4.6453,JHU,0.5,fourier_country_k1
TCD,1971,21,1971-05-24,1971-05-30,40.8818,11.9764,JHU,0.5,fourier_country_k1
TCD,1971,22,1971-05-31,1971-06-06,67.3456,19.7291,JHU,0.5,fourier_country_k1
TCD,1971,23,1971-06-07,1971-06-13,94.8621,27.7901,JHU,0.5,fourier_country_k1
TCD,1971,24,1971-06-14,1971-06-20,123.0301,36.042,JHU,0.5,fourier_country_k1
TCD,1971,25,1971-06-21,1971-06-27,151.4388,44.3644,JHU,0.5,fourier_country_k1
TCD,1971,26,1971-06-28,1971-07-04,179.674,52.636,JHU,0.5,fourier_country_k1
TCD,1971,27,1971-07-05,1971-07-11,207.3239,60.7361,JHU,0.5,fourier_country_k1
TCD,1971,28,1971-07-12,1971-07-18,233.9853,68.5466,JHU,0.5,fourier_country_k1
TCD,1971,29,1971-07-19,1971-07-25,259.2695,75.9537,JHU,0.5,fourier_country_k1
TCD,1971,30,1971-07-26,1971-08-01,282.8077,82.8493,JHU,0.5,fourier_country_k1
TCD,1971,31,1971-08-02,1971-08-08,304.2568,89.1328,JHU,0.5,fourier_country_k1
TCD,1971,32,1971-08-09,1971-08-15,323.3039,94.7127,JHU,0.5,fourier_country_k1
TCD,1971,33,1971-08-16,1971-08-22,339.6712,99.5076,JHU,0.5,fourier_country_k1
TCD,1971,34,1971-08-23,1971-08-29,353.1202,103.4475,JHU,0.5,fourier_country_k1
TCD,1971,35,1971-08-30,1971-09-05,363.4546,106.475,JHU,0.5,fourier_country_k1
TCD,1971,36,1971-09-06,1971-09-12,370.5239,108.5459,JHU,0.5,fourier_country_k1
TCD,1971,37,1971-09-13,1971-09-19,374.2248,109.6301,JHU,0.5,fourier_country_k1
TCD,1971,38,1971-09-20,1971-09-26,374.5035,109.7118,JHU,0.5,fourier_country_k1
TCD,1971,39,1971-09-27,1971-10-03,371.3559,108.7897,JHU,0.5,fourier_country_k1
TCD,1971,40,1971-10-04,1971-10-10,364.8278,106.8773,JHU,0.5,fourier_country_k1
TCD,1971,41,1971-10-11,1971-10-17,355.0146,104.0024,JHU,0.5,fourier_country_k1
TCD,1971,42,1971-10-18,1971-10-24,342.0592,100.2071,JHU,0.5,fourier_country_k1
TCD,1971,43,1971-10-25,1971-10-31,326.1505,95.5467,JHU,0.5,fourier_country_k1
TCD,1971,44,1971-11-01,1971-11-07,307.5207,90.089,JHU,0.5,fourier_country_k1
TCD,1971,45,1971-11-08,1971-11-14,286.4413,83.9137,JHU,0.5,fourier_country_k1
TCD,1971,46,1971-11-15,1971-11-21,263.2197,77.1109,JHU,0.5,fourier_country_k1
TCD,1971,47,1971-11-22,1971-11-28,238.1945,69.7797,JHU,0.5,fourier_country_k1
TCD,1971,48,1971-11-29,1971-12-05,211.7307,62.0271,JHU,0.5,fourier_country_k1
TCD,1971,49,1971-12-06,1971-12-12,184.2142,53.966,JHU,0.5,fourier_country_k1
