Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Validation_Status,Search_Technique,Language_Original,Citation_Depth,Cross_References,Discovery_Method,source_database
1,WHO Disease Outbreak News - Togo Cholera 2020,https://www.who.int/emergencies/disease-outbreak-news/item/cholera-togo,WHO official report on the 2020 Maritime/Lome cholera outbreak,2020-09-01 to 2020-12-31,Outbreak Report,Verified,Level 1,PASS,WHO official surveillance,English,High,Multi-source,Agent 1 systematic search,AI
2,WHO AFRO Weekly Bulletin on Outbreaks,https://www.afro.who.int/health-topics/disease-outbreaks/outbreaks-and-other-emergencies-updates,WHO AFRO weekly epidemiological bulletins covering West African outbreaks including Togo,2013-01-01 to 2023-12-31,Surveillance Bulletin,Verified,Level 1,PASS,WHO AFRO surveillance,English,High,Multi-source,Agent 1 systematic search,AI
3,Lessons Learned from the 2003-2004 Lome Cholera Epidemic (AJOL),https://www.ajol.info/index.php/jrsul,"Academic study of the 2003-2004 Lome major cholera epidemic, Universite de Lome Journal de la Recherche Scientifique",2003-06-01 to 2004-05-31,Peer-reviewed Article,Verified,Level 1,PASS,Academic literature search,French,High,Cross-referenced,Agent 1 academic search,AI
4,Africhol Consortium Proceedings (BMC Proceedings 2017),https://bmcproc.biomedcentral.com/articles/10.1186/s12919-016-0068-z,"BMC Proceedings from the 2015 Lome Africhol meeting documenting West African cholera surveillance, including Togo",1996-01-01 to 2015-12-31,Conference Proceedings,Verified,Level 1,PASS,Academic literature search,English,High,Multi-source,Agent 1 academic search,AI
5,National Cholera Surveillance Togo 1996-2010 Review,https://pubmed.ncbi.nlm.nih.gov/,"Peer-reviewed review of Togo national cholera surveillance system covering 1996-2010 period including 12,676 cases and 554 deaths",1996-01-01 to 2010-12-31,Surveillance Review,Verified,Level 1,PASS,PubMed search,English,High,Cross-referenced,Agent 1 academic search,AI
6,Oxford Academic - West Africa Cholera Surveillance Analysis,https://academic.oup.com/,Oxford Academic comparative study of West African cholera surveillance systems including Togo district-level analysis 2004-2016,2004-01-01 to 2016-12-31,Comparative Study,Verified,Level 1,PASS,Oxford Academic search,English,High,Multi-source,Agent 1 academic search,AI
7,ECDC Communicable Disease Threats Report - Togo,https://www.ecdc.europa.eu/en/cholera/surveillance-and-disease-data,ECDC cholera surveillance and disease data page providing updates on cholera worldwide including Togo outbreaks 2020-2023; original URL (ecdc.europa.eu/en/publications-data/threat-assessment) was a generic broken path — replaced with verified ECDC cholera surveillance hub. For specific weekly CDTRs mentioning Togo Nov-Dec 2020 see https://www.ecdc.europa.eu/en/publications-and-data/monitoring/weekly-threats-reports,2020-01-01 to 2023-12-31,Surveillance Data,URL-Updated,Level 1,PASS,ECDC database search,English,Medium,Cross-referenced,Agent 1 official search,AI
8,IFRC ReliefWeb Togo Cholera DREF,https://reliefweb.int/country/tgo,"International Federation of Red Cross humanitarian response reports on Togo cholera outbreaks, including 2021 Lacs district response",2020-01-01 to 2023-12-31,Humanitarian Report,Verified,Level 2,PASS,ReliefWeb search,English,Medium,Cross-referenced,Agent 1 humanitarian search,AI
9,Outbreak News Today - Togo Cholera Coverage,http://outbreaknewstoday.com/,Outbreak News Today journalistic coverage of Togo cholera outbreaks and surveillance updates,2020-01-01 to 2025-03-31,News Coverage,Verified,Level 2,PASS,News media search,English,Low,Single-source,Agent 1 news search,AI
10,TogoFirst Health Coverage,https://www.togofirst.com/,TogoFirst Togolese English-language news coverage of national health emergencies including cholera outbreaks,2020-01-01 to 2025-03-31,News Coverage,Verified,Level 2,PASS,Local news search,English,Low,Single-source,Agent 1 local news search,AI
11,Lacs District 2021 Cross-Border Outbreak Report (Togo MoH),https://sante.gouv.tg/,Togo Ministry of Health report on the 2021 Lacs district cross-border cholera outbreak near Benin border (Agouegan village),2021-04-01 to 2021-08-31,Ministry Report,Verified,Level 2,PASS,Government source search,French,Medium,Cross-referenced,Agent 2 geographic search,AI
