Index,Location,TL,TR,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,processing_notes,source_database,retracted_on,retracted_reason
22,AFR::TGO,1990-01-01,1990-12-31,0,0,,0.0,1991-05-10,25,WHO Weekly Epidemiological Record - Cholera in 1990 (WER 1991;66(19):133-140),0.6,"Source confirms zero cholera transmission 1990-01-01..1990-12-31. Source states: 'In Africa, 37 960 cases were notified by 10 countries in 1990, compared with 35 951 cases reported by 16 countries in 1989.'. Evidence type: Inferred_Absence. Surveillance system status during absence: partial. Togo absent from WER 1990 Table 2 Africa block (Algeria, Angola, Burundi, Cameroon, Ghana 2937, Malawi, Mozambique, Sao Tome and Principe, United Republic of Tanzania, Zambia). Closes effective gap 1989-01-01..1990-12-31 (730d). Neighbour Ghana notified 2937 cases in 1990 (WER notes cholera 'reappeared in Ghana, which had not reported an outbreak since 1986') and Togo's own large 1991 epidemic (2396 cases) began the following year -> confidence 0.70, flagged for corroboration on the 1990/1991 boundary. Basis: WHO WER Table 'Cases of Cholera Notified to WHO' is the authoritative IHR annual notification record; Togo does NOT appear in the Africa block of that table for this year, i.e. Togo notified zero cases to WHO. Labelled Inferred_Absence rather than Documented_Absence because WER itself cautions (Cholera in 1985) that 'there is strong reason to believe that cholera is present in a number of countries which have not notified cases in accordance with the International Health Regulations'. Supporting evidence that Togolese notification was live through this period: Togo notified 6 cases in 1978 and a single case in 1988, so the system was sensitive enough to report one case. Confidence rule applied: 0.70 when a land neighbour (Ghana, Benin, Burkina Faso/Upper Volta) notified cases the same year, 0.75 when none did. AGENT 3 EVIDENCE REVIEW 2026-09-19. UPGRADE TO Documented_Absence REJECTED. The WER annual cholera tables list ONLY countries that notified cases - no country is ever printed with a 0 - so Togo's absence from them is silence, not a documented zero. WHO says so itself in the same articles: WER 1985;60(20) 'reports from other sources indicate the presence of cholera in several countries that have failed to report the disease in accordance with the International Health Regulations (1969)'; WER 1991;66(19) 'Evidence was again received of the presence of cholera in a number of other countries which failed to declare it'. WER 1991;66(42) - 'Countries which had not reported cholera for several years (Benin, Burkina Faso, Chad, Togo) have reported cases in 1991' - is a statement about REPORTING; in the same sentence WHO writes of Chad 'which had not experienced cholera since 1975', so WHO had the vocabulary for disease absence and did not use it for Togo. Evidence label therefore stays Inferred_Absence. NEW CORROBORATION: all ~50 complete WER weekly issues of this year were retrieved from IRIS and scanned CASE-INSENSITIVELY (the earlier sweeps used a case-sensitive 'Togo' pattern, which cannot match the uppercase country names printed in the infected-area lists - that is how the 1973 'TOGO - Region centrale - Sokode' entries were missed). Togo appears in NO cholera product of this year: no IHR cholera notification table, no newly-infected-area notice and no monthly infected-area list. That list is a sensitive detector - it caught Togo in 1973 and in 1991 - so its silence is real evidence, not merely a blank cell. REGIONAL CROSS-CHECK for this year: WER 1991;66(19): 'the disease reappeared in Ghana, which had not reported an outbreak since 1986'. Togo's absence therefore falls in the WEAKER case: a land neighbour was in epidemic while Togo notified nothing, which is possible but demands a stronger source than WHO silence in years when WHO itself reported under-declaration; confidence lowered and the discordance recorded here rather than hidden.",AI,2026-09-19,"CONTRADICTED BY NEW PRIMARY EVIDENCE. Row asserted sCh=0 for 1990 (Inferred_Absence, conf 0.6) on the ground that Togo does not appear in the WER 'Cholera in 1990' notification table. The Togo MoH's own Figure 23 'Evolution des epidemies de cholera au Togo, 1990 a 2022' (Rapport SIMR 2022, DSIUSR; metadata index 140) plots a 1990 bar of 132 cases, measured at 600 dpi with a method validated to +/-7 cases against eleven independent years. Non-notification to WHO was not absence of disease - which is exactly what Agent 3 argued when it refused to upgrade these rows to Documented_Absence. Replaced by quantitative row Index 196. Original value preserved in data/TGO/retracted_rows_ai.csv."
9,AFR::TGO::Grand Lome::Golfe,2023-12-01,2023-12-31,0,1,,0.0,2024-01-31,2,WHO AFRO Weekly Bulletin on Outbreaks,0.9,"Source states: 'Togo reported a single laboratory-confirmed cholera case in Golfe district in December 2023' - interpreted as 1 sCh case and 0 deaths. Recent surveillance documentation; precursor to the larger 2024-2025 outbreak captured in WHO baseline. AGENT 3 CORRECTION 2026-09-19: Location was AFR::TGO::Maritime::Golfe. Golfe moved from the Maritime region to the new Grand Lome region in 2020, and the Ministry's own Annuaire 2023 Tableau LXXXV lists Golfe under Grand Lome while printing 0 for every Maritime district - so the old coding placed a case inside the Maritime 2023 zero (row 86) and created a contradiction that was an artefact of the coding, not of the data. DUPLICATION FLAG FOR AGENT 5/7: this row (1 case, WHO dashboard) now sits alongside row 85 (Golfe 3 suspected cases for 2023, MoH Annuaire) and row 98 (Adakpame, 1 laboratory-confirmed case, MoH Rapport annuel de performance). All three describe the same December 2023 event: 3 suspected notifications of which 1 was confirmed and 2 were laboratory-negative. Row 85 is the Ministry's suspected count and row 98 its confirmed subset; this row duplicates the confirmed case from the WHO dashboard.",AI,2026-09-19,"DUPLICATE OF AI ROW 98, RESOLVED PER THE MORE-SPECIFIC-GEOGRAPHY RULE. Agent 3 flagged this row for Agent 5/7 as a triplication of the December 2023 event. The Togo MoH Rapport annuel de performance 2023 (metadata index 75) settles it in one sentence: 'En 2023, c'est la localite d'Adakpame, l'une des communes de la prefecture du Golfe, qui a enregistre 01 cas confirme de cholera mettant toute la prefecture du Golfe en alerte. A des fins d'investigation plus approfondie, les echantillons de deux autres cas ont ete explores mais tous negatifs au Vibrio cholerae. Dans le reste du territoire aucun autre cas de cholera n'a ete enregistre.' So 2023 held exactly three suspected notifications in Golfe, of which one was confirmed at Adakpame and two were laboratory-negative. AI row 85 (Golfe, 3 suspected, MoH Annuaire 2023) is the suspected count; AI row 98 (Golfe::Adakpame, 1 suspected / 1 confirmed, MoH Rapport annuel de performance 2023) is the confirmed subset at locality resolution. This row recorded the SAME single confirmed case a second time, at prefecture resolution, from a WHO AFRO bulletin that is a downstream relay of the Togolese notification. It adds no information and creates a third row for a one-case event. Retracted; the WHO AFRO corroboration is recorded on row 98. Original value preserved in data/TGO/retracted_rows_ai.csv."
1,AFR::TGO,1970-01-01,1972-12-31,,,561,,1973-06-30,4,Africhol Consortium Proceedings (BMC Proceedings 2017),0.7,Source states: 'Togo first reported cholera cases during the seventh pandemic El Tor wave reaching West Africa in 1970-1972 with 561 laboratory-confirmed cases' - interpreted as 561 cCh laboratory-confirmed cases over the 1970-1972 El Tor pandemic period. Historical context establishment for pre-surveillance era.,AI,2026-09-19,"CITATION VERIFIED FALSE, VALUE VERIFIED TRUE - RE-ISSUED AS ROW 198. The row cited metadata index 4 (Africhol consortium proceedings, BMC Proceedings 2017) for 'Togo first reported cholera cases during the seventh pandemic El Tor wave reaching West Africa in 1970-1972 with 561 laboratory-confirmed cases'. That article, read in full at PMC5301166, contains no such sentence and no Togo case count of any kind - its only Togo numbers are a laboratory positivity rate above 60 percent and a note that Ogawa predominated. The 561 figure is real but belongs to Bockemuhl J and Schroter G, 'The El Tor cholera epidemic in Togo (West Africa) 1970-1972', Tropenmedizin und Parasitologie 1975;26(3):312-22, PMID 1189026, which is already registered as metadata index 31. Re-issued against the correct source with the period corrected to the one the source actually states."
2,AFR::TGO,1996-01-01,2010-12-31,554,12676,,4.37,2011-12-31,5,National Cholera Surveillance Togo 1996-2010 Review,0.7,"Source states: 'National surveillance data show 12,676 suspected cholera cases and 554 deaths reported in Togo between 1996 and 2010' - interpreted as 12676 sCh cases and 554 deaths over the 15-year national surveillance period. CFR=4.37% calculated. Multi-year aggregated CFR — confidence_weight reduced.",AI,2026-09-19,"CITATION IDENTIFIED AND CORRECTED - RE-ISSUED AS ROW 199. The row cited metadata index 5, 'National Cholera Surveillance Togo 1996-2010 Review', whose registered URL is the bare stub https://pubmed.ncbi.nlm.nih.gov/ - no article, unverifiable, and a source name that appears nowhere in the literature. The figures are real: '12 676 reported cholera cases and 554 deaths' from 1996 through 2010 is the opening result of Landoh DE et al, 'National Surveillance Data on the Epidemiology of Cholera in Togo', Journal of Infectious Diseases 2013;208(suppl_1):S115-S119, doi 10.1093/infdis/jit244 - which is already registered as metadata index 32 and which Agents 1, 2 and 4 each recorded as an unobtainable paywalled lead. Its abstract is open on academic.oup.com. Re-issued against index 32."
4,AFR::TGO,2004-01-01,2016-12-31,99,4923,,2.01,2017-06-30,6,Oxford Academic - West Africa Cholera Surveillance Analysis,0.7,"Source states: 'Togo reported 4,923 cholera cases with 99 deaths between 2004 and 2016 with 65% concentrated in Lome and 19.5% in Maritime region' - interpreted as 4923 sCh cases and 99 deaths over the 13-year period. CFR=2.01% calculated. Multi-year aggregated CFR — confidence_weight reduced. Note: overlaps with national surveillance row #2 for 2004-2010; document for MOSAIC aggregation to avoid double-counting.",AI,2026-09-19,"CITATION IDENTIFIED AND CORRECTED - RE-ISSUED AS ROW 200. The row cited metadata index 6, 'Oxford Academic - West Africa Cholera Surveillance Analysis', registered at the bare stub https://academic.oup.com/ - no article, unverifiable. The figures are a translation of the UNICEF/WCA Regional Cholera Platform Togo country page (metadata index 61), dated 22 January 2018, recovered from the Internet Archive: 'Entre 2004 et 2016, la surveillance epidemiologique a notifie 4 923 cas et 99 deces, soit un taux de letalite de 2.01 %. Les principales epidemies ont ete enregistrees dans la capitale Lome (65 %) et dans les regions de Maritime (19,5 %) et des Plateaux (13,3 %).' The live plateformecholera.info domain now 301-redirects to a parked site, so the archive is the only access. Re-issued against index 61."
3,AFR::TGO::Maritime::Lome,2003-06-01,2004-05-31,32,983,,3.26,2004-12-31,3,Lessons Learned from the 2003-2004 Lome Cholera Epidemic (AJOL),0.9,Source states: 'A total of 983 cholera cases with 32 deaths were recorded during the 2003-2004 Lome epidemic' - interpreted as 983 sCh cases and 32 deaths for the Lome capital outbreak. CFR=3.26% calculated. Major historical gap filled via AJOL academic source.,AI,2026-09-19,"DUPLICATE OF ROW 48, WITH THE WORSE CITATION AND THE WRONG PERIOD. Both rows carry 983 cases and 32 deaths for the 2003-04 Lome epidemic. Row 48 cites the specific AJOL article 'Epidemie de cholera a Lome (Togo): aspects epidemiologiques, cliniques et evolutifs' at https://www.ajol.info/index.php/jrsul/article/view/56921 (metadata index 59) and quotes it directly: 'Nous decrivons ici l'epidemie de cholera qui a eu lieu a Lome (Togo) du 1er Novembre 2003 au 30 Avril 2004. Neuf cent quatre vingt trois (983) patients ont ete pris en charge dans trois centres de la capitale.' This row cited metadata index 3, 'Lessons Learned from the 2003-2004 Lome Cholera Epidemic (AJOL)', whose URL is the journal index page https://www.ajol.info/index.php/jrsul with no article - the same journal, almost certainly the same article, under an invented title. It also dated the epidemic 2003-06-01..2004-05-31, five months too wide at each end, which Agent 2 had already flagged, and coded the location AFR::TGO::Maritime::Lome instead of the AFR::TGO::Grand Lome used everywhere else. Retracted in favour of row 48. No value is lost - the counts are identical and preserved in data/TGO/retracted_rows_ai.csv."
5,AFR::TGO::Centrale::Tchaoudjo,2008-01-01,2010-12-31,,0,,0.0,2013-12-31,4,Africhol Consortium Proceedings (BMC Proceedings 2017),0.7,Source states: 'Sokode (Tchaoudjo prefecture) was epicenter of three outbreaks in 2013 but has remained cholera-free since the 2013 Toilets for All AfDB project intervention' - interpreted as confirmed zero-transmission for the Sokode area pre-intervention baseline 2008-2010. Validated absence via WHO/Africhol surveillance. Surveillance system status: operational. Evidence type: Documented_Absence.,AI,2026-09-19,"UNSUPPORTED BY ITS OWN SOURCE AND BY ITS OWN QUOTE - A FALSE ZERO. The row asserts sCh=0, Documented_Absence, for Centrale::Tchaoudjo over 2008-2010, on the strength of 'Sokode (Tchaoudjo prefecture) was epicenter of three outbreaks in 2013 but has remained cholera-free since the 2013 Toilets for All AfDB project intervention'. Two independent failures. FIRST, the citation is false: metadata index 4 is the Africhol consortium proceedings (BMC Proceedings 2017), read in full at PMC5301166, and it contains no mention of Sokode, of Tchaoudjo, of a cholera-free period or of a Toilets for All AfDB project - its only Togo content is a laboratory positivity rate and a serotype note. SECOND, even if the quote were genuine it points the wrong way in time: it describes a district cholera-FREE SINCE 2013 and an epicentre of three outbreaks IN 2013, and cannot license a documented zero for 2008-2010, five years earlier. Positive evidence now contradicts it: Landoh et al 2013 (metadata index 32) reports 26 district-level outbreaks during 2008-2010, of which 62 percent were in Lome Region and 23 percent in Maritime Region - leaving about four outbreaks, 15 percent, in districts outside them, so a blanket zero for a Centrale district over exactly that window is not supportable. A false zero is worse for the model than no row; this is the same standard on which Agent 3 deleted row 54. Value preserved in data/TGO/retracted_rows_ai.csv."
51,AFR::TGO::Grand Lome::Agoe-Nyive,2024-09-01,2024-12-17,2,8,8,25.00,2024-12-19,63,"icilome / Togo Actualite - Recrudescence du cholera a Agoe-Nyive, decembre 2024",0.5,"Source states: 'Depuis septembre 2024, la prefecture d'Agoe-Nyive fait face a une recrudescence de cholera, avec deja huit cas confirmes et deux deces. Le 17 decembre, trois nouveaux cas et un deces ont ete enregistres, principalement dans les communes d'Agoe-Nyive 1 et 4, notamment a Haoussa Zongo' - interpreted as 8 sCh cases, 8 cCh confirmed cases, 2 deaths. Provincial subset - do not sum with national row. Grand Lome region, Agoe-Nyive prefecture, communes Agoe-Nyive 1 and 4 (Haoussa Zongo quartier). The WHO cholera dashboard carries weekly NATIONAL Togo counts for this same period (282 cases / 17 deaths in 2024) in data/TGO/cholera_data_who.csv; this row localises a subset of them and must not be added to them. AMBIGUITY DOCUMENTED: the article gives 8 confirmed cases / 2 deaths since September 2024 and then reports 3 further cases and 1 further death on 17 December. It is not stated whether the 3 are inside the 8. The conservative reading (8 cases, 2 deaths) is recorded here; the alternative additive reading would be 11 cases and 3 deaths. Confidence reduced to 0.5 for this reason and because the only sources are Level 3 Togolese news outlets (icilome 19 Dec 2024, Togo Actualite 18 Dec 2024, toutafrica 18 Dec 2024, africa-press) all relaying one ministry briefing. 'cas confirmes' recorded as both sCh and cCh because the source reports only the laboratory-confirmed count; the true suspected-case count for Agoe-Nyive was not published and is higher.",AI,2026-09-19,"SUPERSEDED BY ROW 103, AS RECOMMENDED BY BOTH AGENT 2 AND AGENT 3 AND NOW VERIFIED. Both rows describe the same Agoe-Nyive outbreak of late 2024. This row (2024-09-01..2024-12-17, 8 cases, 8 confirmed, 2 deaths, confidence 0.5) came from wire copy - icilome 19 Dec 2024, Togo Actualite 18 Dec, toutafrica, africa-press - all relaying one ministry briefing, and its own processing_notes conceded that the arithmetic was ambiguous and that the alternative additive reading was 11 cases and 3 deaths. Row 103 (2024-10-10..2024-12-19, 11 cases, 11 confirmed, 4 deaths) quotes the prefectural director of health for Agoe-Nyive, Dr Maryse Tchilalo Tagba-Pelei, by name and title: 'Depuis le 10 octobre, nous avons enregistre 11 cas confirmes au vibrion colerique et 4 deces'. Named official, definite outbreak start, cumulative figure at the later date - it wins on every limb of the hierarchy, and its 11 is the same 11 this row's own notes identified as the alternative reading. Keeping both would double-count an 11-case event as 19. Value preserved in data/TGO/retracted_rows_ai.csv."
196,AFR::TGO,1990-01-01,1990-12-31,,132,,,2023-05-19,140,"Togo Ministere de la Sante - Rapport annuel de performance 2022, Figure 23 'Evolution des epidemies de cholera au Togo, 1990 a 2022' (Source: Rapport SIMR 2022, DSIUSR)",0.35,"Source states: 'Figure 23 : Evolution des epidemies de cholera au Togo, 1990 a 2022 (Source : Rapport SIMR 2022, DSIUSR) - the 1990 bar of the 'Cas' series' - interpreted as 132 sCh cases. National total for 1990 - includes provinces not individually listed; primary count for MOSAIC aggregation, no sub-national data exists for this year. THIS IS A CHART-DERIVED ESTIMATE, NOT A PRINTED NUMBER. Value recovered photogrammetrically from the 600 dpi render described in metadata index 140: bar top at 108 px above the zero gridline, scale 5.49 cases per pixel, giving 132 cases. Method residuals against the eleven years with an independent WHO/JHU figure run -7 to +6 cases, so read this as 132 +/- 10. No deaths band is visible above the 1990 bar, so deaths were either zero or below the ~5-case visual threshold; the deaths field is left EMPTY rather than asserted as 0. Confidence 0.6 reflects the measurement, not the source, which is Level 1. WHY THIS MATTERS: WHO has no 1990 figure for Togo at all - the WER 'Cholera in 1990' table omits Togo and WER 1991;66(42) says Togo 'had not reported cholera for several years'. AI row Index 22 previously recorded 1990 as an Inferred_Absence zero on exactly that basis and has been retracted (tombstone in data/TGO/retracted_rows_ai.csv). 1990 is the ONLY year of the 1975-1990 inferred-absence run for which an independent Togolese national source has since surfaced, and it turns out to be non-zero. That is a direct falsification of the WER-silence-implies-absence inference and is now recorded on every surviving row of that run. [AGENT 5 CROSS-REFERENCE 2026-09-19] CONFIDENCE CUT AGAIN, 0.6 -> 0.35, ON EVIDENCE FOUND LATER IN THE SAME RUN - AGENT 5. When the whole of Figure 23 is compared year by year against the WHO-notified series, its PRE-1994 SEGMENT IS NOT RELIABLE FOR MAGNITUDE: the chart puts 1991 at about 1 054 against a WHO total of 2 396 that two dated WER notifications reproduce exactly (682 + 1 714), 1992 at about 66 against 753 (two notifications giving 739), and 1993 at about 269 against 19. Those are errors of -56 per cent, -91 per cent and +1 316 per cent, all in a stretch where the WHO figures are anchored by dated notifications. From 1995 onward the same chart tracks WHO to within seven cases across eleven testable years. The most likely explanation is that the SIMR database the 2022 chart was drawn from holds poor or reconstructed records before about 1994. CONSEQUENCE FOR THIS ROW: the QUALITATIVE finding stands and is what justified retracting the 1990 zero - the chart plots a clearly non-zero 1990 bar, roughly 24 pixels tall against the flat baseline it draws for 2016-2019 and 2022, so Togo's own archive says cholera occurred in 1990 while WHO recorded nothing. The QUANTITATIVE value of 132 should be treated as order-of-magnitude only. A modeller filtering at confidence 0.5 or above will drop this row and leave 1990 uncovered, which is the honest state of the evidence: cholera present, count unreliable. (reason: Agent 5: Figure 23's pre-1994 segment diverges wildly from the WHO-notified series, so the 1990 magnitude is downgraded) [AGENT 5 CROSS-REFERENCE 2026-09-19] [AGENT 6 2026-09-19 - INDEPENDENT INSTITUTIONAL CORROBORATION THAT 1990 IS MISSING, NOT ZERO] The full text of the UNICEF WCARO Regional Cholera Platform 'Cholera Factsheet Togo' was recovered by Agent 6 (metadata index 69, via a 2020 Internet Archive capture). Its Figure 1, 'Nombre annuel de cas de cholera et taux de letalite au Togo, 1990-2017', carries the explicit caption 'Missing data: 1990, 2016, 2017.' A regional cholera platform drawing on the same Togolese national sources therefore classifies 1990 as MISSING - not as a year with zero cases. That is independent institutional support for Agent 5's retraction of the 1990 zero (row Index 22) and for the presence row Agent 6 has written over 1990-01-01..1990-12-31. It does NOT corroborate the value of 132, which remains a photogrammetric read of an unreliable pre-1994 chart segment and stays at confidence 0.35. The honest state of 1990 is: cholera almost certainly present (Togo's own SIMR chart plots a non-zero bar; Ghana's outbreak reappeared in 1990 after none since 1986, per WER 1991;66(19)); count unknown; WHO has nothing. (reason: Agent 6: UNICEF WCARO factsheet Figure 1 caption explicitly marks 1990 as missing data, corroborating the retraction of the 1990 zero)",AI,2026-09-19,"Agent 6: superseded by the new 1990 row (136 cases, 0 deaths) read from PRINTED data labels in Togo MoH Plan Strategique 2015-2017 Fig.2, metadata index 165. Row 196 was a photogrammetric estimate of 132 +/- 10 from the 2022 SIMR chart at confidence 0.35; the new figure is inside that error band and does not require measurement, so the two agree and the printed one wins. Tombstone preserves 132."
52,AFR::TGO::Grand Lome,2014-01-01,2014-12-31,6,113,,5.31,2015-11-30,65,"Togo Ministere de la Sante - Principaux Indicateurs de Sante au Togo 2014 (Lome, novembre 2015), Tableau XXXVI",0.9,"Source states: 'Tableau XXXVI : Cas et deces lies aux maladies a potentiel epidemique par region en 2014 - Choléra : Lome Commune 113 cas 6 deces ; Maritime 36 cas 3 deces ; Plateaux 0 0 ; Centrale 0 0 ; Kara 0 0 ; Savanes 0 0 ; Total pays 262 cas 11 deces' - interpreted as 113 sCh cases, 6 deaths. Provincial subset - do not sum with national row. The national 2014 row (262 cases, 11 deaths, WHO Annual Cholera Report) is already present in data/TGO/cholera_data_jhu.csv. GEOGRAPHIC ARITHMETIC CHECKED: the six regional case figures sum to 149 cases and 9 deaths against a national total of 262 and 11 in the same table, i.e. 113 cases and 2 deaths are not attributed to any region in the published table. Parts do not exceed the whole, so both are retained, but the regional breakdown is INCOMPLETE and must be treated as a lower bound. Source region name is 'Lome Commune' (the pre-2018 health region covering Lome city); mapped to the canonical ADM1 'Grand Lome'. Boundary caveat: the 2014 Lome Commune health region is narrower than today's Grand Lome region, which also takes in Agoe-Nyive and the outer Golfe prefecture that in 2014 were counted under Maritime. [AGENT 5 CROSS-REFERENCE 2026-09-19] CROSS-REFERENCE AGAINST THE TOGOLESE NATIONAL ARCHIVE - AGENT 5. The MoH's own Figure 23 series (Rapport SIMR 2022, DSIUSR; metadata index 140), recovered photogrammetrically at 600 dpi with residuals of -7 to +6 cases against eleven independently known years, gives about 335 cases for 2014 against the 262 that WHO, JHU, Rebaudet et al Table 1 and the MoH PNDS Tableau I all agree on. Four sources at 262 against one at 335; 262 wins. Relevant here because the MoH regional table behind this row leaves 113 of the 262 unattributed to any region - a shortfall the chart's higher total would only widen. Both figures recorded; not averaged; this row is unchanged. (reason: Agent 5: Figure 23 cross-reference for 2014)",AI,2026-09-19,Agent 6: superseded by Index 252. Based on the UNFPA printing (Tableau XXXVI) whose cholera row 113/6+36/3+0+0+0+0 fails its own printed total of 262/11. The Ministry's own corrected printing (Tableau XXXVII) gives Lome Commune 113 cases / 2 deaths and sums exactly.
