Index,Location,TL,TR,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,processing_notes,source_database
1,AFR::ZMB,2023-01-09,2023-01-15,,2.0,,0.0,2023-01-15,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 2.0 cases, 0.0 deaths reported for week 2 of 2023. Converted from weekly surveillance data.",WHO
2,AFR::ZMB,2023-01-16,2023-01-22,,5.0,,0.0,2023-01-22,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 5.0 cases, 0.0 deaths reported for week 3 of 2023. Converted from weekly surveillance data.",WHO
3,AFR::ZMB,2023-01-23,2023-01-29,1.0,13.0,,7.69,2023-01-29,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 13.0 cases, 1.0 deaths reported for week 4 of 2023. Converted from weekly surveillance data.",WHO
4,AFR::ZMB,2023-01-30,2023-02-05,,44.0,,0.0,2023-02-05,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 44.0 cases, 0.0 deaths reported for week 5 of 2023. Converted from weekly surveillance data.",WHO
5,AFR::ZMB,2023-02-06,2023-02-12,1.0,62.0,,1.61,2023-02-12,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 62.0 cases, 1.0 deaths reported for week 6 of 2023. Converted from weekly surveillance data.",WHO
6,AFR::ZMB,2023-02-13,2023-02-19,2.0,43.0,,4.65,2023-02-19,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 43.0 cases, 2.0 deaths reported for week 7 of 2023. Converted from weekly surveillance data.",WHO
7,AFR::ZMB,2023-02-20,2023-02-26,,22.0,,0.0,2023-02-26,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 22.0 cases, 0.0 deaths reported for week 8 of 2023. Converted from weekly surveillance data.",WHO
8,AFR::ZMB,2023-02-27,2023-03-05,,24.0,,0.0,2023-03-05,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 24.0 cases, 0.0 deaths reported for week 9 of 2023. Converted from weekly surveillance data.",WHO
9,AFR::ZMB,2023-03-06,2023-03-12,,5.0,,0.0,2023-03-12,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 5.0 cases, 0.0 deaths reported for week 10 of 2023. Converted from weekly surveillance data.",WHO
10,AFR::ZMB,2023-03-13,2023-03-19,1.0,5.0,,20.0,2023-03-19,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 5.0 cases, 1.0 deaths reported for week 11 of 2023. Converted from weekly surveillance data.",WHO
11,AFR::ZMB,2023-03-20,2023-03-26,2.0,43.0,,4.65,2023-03-26,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 43.0 cases, 2.0 deaths reported for week 12 of 2023. Converted from weekly surveillance data.",WHO
12,AFR::ZMB,2023-03-27,2023-04-02,,23.0,,0.0,2023-04-02,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 23.0 cases, 0.0 deaths reported for week 13 of 2023. Converted from weekly surveillance data.",WHO
13,AFR::ZMB,2023-04-03,2023-04-09,1.0,26.0,,3.85,2023-04-09,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 26.0 cases, 1.0 deaths reported for week 14 of 2023. Converted from weekly surveillance data.",WHO
14,AFR::ZMB,2023-04-10,2023-04-16,,17.0,,0.0,2023-04-16,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 17.0 cases, 0.0 deaths reported for week 15 of 2023. Converted from weekly surveillance data.",WHO
