Index,Location,TL,TR,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,processing_notes,source_database
1,AFR::ZWE,2023-02-13,2023-02-19,,8.0,,0.0,2023-02-19,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 8.0 cases, 0.0 deaths reported for week 7 of 2023. Converted from weekly surveillance data.",WHO
2,AFR::ZWE,2023-02-20,2023-02-26,,37.0,,0.0,2023-02-26,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 37.0 cases, 0.0 deaths reported for week 8 of 2023. Converted from weekly surveillance data.",WHO
3,AFR::ZWE,2023-02-27,2023-03-05,,12.0,,0.0,2023-03-05,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 12.0 cases, 0.0 deaths reported for week 9 of 2023. Converted from weekly surveillance data.",WHO
4,AFR::ZWE,2023-03-06,2023-03-12,,,,,2023-03-12,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 0.0 cases, 0.0 deaths reported for week 10 of 2023. Converted from weekly surveillance data.",WHO
5,AFR::ZWE,2023-03-13,2023-03-19,1.0,57.0,,1.75,2023-03-19,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 57.0 cases, 1.0 deaths reported for week 11 of 2023. Converted from weekly surveillance data.",WHO
6,AFR::ZWE,2023-03-20,2023-03-26,4.0,59.0,,6.78,2023-03-26,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 59.0 cases, 4.0 deaths reported for week 12 of 2023. Converted from weekly surveillance data.",WHO
7,AFR::ZWE,2023-03-27,2023-04-02,1.0,64.0,,1.56,2023-04-02,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 64.0 cases, 1.0 deaths reported for week 13 of 2023. Converted from weekly surveillance data.",WHO
8,AFR::ZWE,2023-04-03,2023-04-09,1.0,110.0,,0.91,2023-04-09,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 110.0 cases, 1.0 deaths reported for week 14 of 2023. Converted from weekly surveillance data.",WHO
9,AFR::ZWE,2023-04-10,2023-04-16,2.0,128.0,,1.56,2023-04-16,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 128.0 cases, 2.0 deaths reported for week 15 of 2023. Converted from weekly surveillance data.",WHO
10,AFR::ZWE,2023-04-17,2023-04-23,6.0,61.0,,9.84,2023-04-23,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 61.0 cases, 6.0 deaths reported for week 16 of 2023. Converted from weekly surveillance data.",WHO
11,AFR::ZWE,2023-04-24,2023-04-30,3.0,57.0,,5.26,2023-04-30,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 57.0 cases, 3.0 deaths reported for week 17 of 2023. Converted from weekly surveillance data.",WHO
12,AFR::ZWE,2023-05-01,2023-05-07,3.0,129.0,,2.33,2023-05-07,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 129.0 cases, 3.0 deaths reported for week 18 of 2023. Converted from weekly surveillance data.",WHO
13,AFR::ZWE,2023-05-08,2023-05-14,4.0,178.0,,2.25,2023-05-14,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 178.0 cases, 4.0 deaths reported for week 19 of 2023. Converted from weekly surveillance data.",WHO
14,AFR::ZWE,2023-05-15,2023-05-21,10.0,385.0,,2.6,2023-05-21,1,WHO Cholera Surveillance Dashboard (2023),0.9,"WHO dashboard data: 385.0 cases, 10.0 deaths reported for week 20 of 2023. Converted from weekly surveillance data.",WHO
