Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Validation_Status,Discovery_Method,Language_Original,Citation_Depth,Cross_References
1,WHO Disease Outbreak News 2006 Initial,https://www.who.int/emergencies/disease-outbreak-news/item/2006_05_10-en,Initial 2006 outbreak report - 30612 cases 1156 deaths,2006-02-19 to 2006-05-08,Official WHO Report,Active,Level 1,Validated,WHO Database Search,English,0,WHO DON 2006 Updates
2,WHO Disease Outbreak News 2006 Update 3,https://www.who.int/emergencies/disease-outbreak-news/item/2006_06_06a-en,2006 outbreak update 3 - 41475 cases 1576 deaths,2006-02-19 to 2006-05-31,Official WHO Report,Active,Level 1,Validated
3,WHO Disease Outbreak News 2006 Update 4,https://www.who.int/emergencies/disease-outbreak-news/item/2006_06_09-en,2006 outbreak final update - 43076 cases 1642 deaths,2006-02-19 to 2006-06-09,Official WHO Report,Active,Level 1,Validated
4,WHO Disease Outbreak News 2025,https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON562,2025 outbreak report - 8543 cases 329 deaths,2025-01-07 to 2025-03-23,Official WHO Report,Active,Level 1,Validated
5,UNICEF Angola 2006 Situation Report,https://reliefweb.int/report/angola/cholera-outbreak-unicef-angola-situation-report-26-may-2006,UNICEF 2006 outbreak response - 39267 cases 1451 deaths,2006-02-13 to 2006-05-26,Humanitarian Response,Active,Level 2,Validated
6,UNICEF Angola 2018 Humanitarian Report,https://reliefweb.int/report/angola/unicef-angola-humanitarian-situation-report-january-june-2018,UNICEF 2018 cholera response - 890 suspected cases 15 deaths,2018-01-01 to 2018-06-30,Humanitarian Response,Active,Level 2,Validated
7,WHO AFRO Regional Bulletin March 2024,https://www.afro.who.int/publications/weekly-regional-cholera-bulletin-4-march-2024,WHO AFRO regional cholera surveillance bulletin,2024-03-04,Regional Surveillance,Active,Level 1,Validated
8,Angola Epidemiological Bulletin 2025,https://reliefweb.int/report/angola/boletim-epidemiologico-semanal-colera-em-angola-actualizacao-semanal-semana-epidemiologica-no-15-6-12-de-abril-de-2025,Portuguese language weekly epidemiological bulletin - 12193 cases 466 deaths,2025-01-07 to 2025-04-12,Official Government Report,Active,Level 1,Validated
9,MSF Angola 2006 Evaluation,https://evaluation.msf.org/evaluation-report/overall-response-to-cholera-epidemics-in-angola-in-2006,MSF operational research evaluation of 2006 cholera response,2006,Operational Research,Access Restricted,Level 2,Reference
10,Frontiers Molecular Epidemiology Study,https://www.frontiersin.org/articles/10.3389/fmicb.2013.00354/full,Vibrio cholerae O1 variants Angola 1992-2006 molecular study,1992-2006,Academic Literature,Active,Level 1,Validated
11,BMC Cross-Border Transmission Study,https://pmc.ncbi.nlm.nih.gov/articles/PMC8684622/,DRC-Angola cholera cross-border transmission patterns 1973-2018,1973-2018,Academic Literature,Active,Level 1,Validated
