Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Validation_Status,Search_Technique,Language_Original,Citation_Depth,Cross_References,Discovery_Method
1,WHO Disease Outbreak News 2025 Angola,https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON562,WHO official disease outbreak report for Angola cholera outbreak,2025,Official Surveillance,Active,Level 1,Validated,WHO DON systematic search,English,1,WHO AFRO reports,WHO GHO Systematic Module
2,WHO AFRO Angola Data Management 2025,https://www.afro.who.int/countries/angola/news/angola-enhances-data-management-combat-cholera-outbreak,WHO AFRO report on Angola cholera data management training,2025,Official Surveillance,Active,Level 1,Validated,WHO AFRO institutional search,English,1,WHO DON 2025,WHO Systematic Module
3,WHO Disease Outbreak News 2006 Initial,https://www.who.int/emergencies/disease-outbreak-news/item/2006_05_10-en,WHO initial report on 2006 Angola cholera outbreak,2006,Official Surveillance,Active,Level 1,Validated,Historical WHO DON search,English,1,WHO DON Updates,WHO GHO Historical Module
4,WHO Disease Outbreak News 2006 Update 2,https://www.who.int/emergencies/disease-outbreak-news/item/2006_06_06a-en,WHO second update on 2006 Angola cholera outbreak,2006,Official Surveillance,Active,Level 1,Validated,Historical WHO DON search,English,1,WHO DON series,WHO GHO Historical Module
5,WHO Disease Outbreak News 2006 Update 3,https://www.who.int/emergencies/disease-outbreak-news/item/2006_06_09-en,WHO third update on 2006 Angola cholera outbreak,2006,Official Surveillance,Active,Level 1,Validated,Historical WHO DON search,English,1,WHO DON series,WHO GHO Historical Module
6,UNICEF Angola Situation Report 2006,https://reliefweb.int/report/angola/cholera-outbreak-unicef-angola-situation-report-26-may-2006,UNICEF humanitarian situation report during 2006 cholera outbreak,2006,Humanitarian Response,Active,Level 2,Validated,UNICEF Temporal Expansion Module,English,1,WHO DON 2006,UNICEF Module Search
7,UNICEF Angola Humanitarian Report 2017,https://reliefweb.int/report/angola/unicef-angola-humanitarian-situation-report-january-june-2017,UNICEF humanitarian situation report covering 2017 cholera outbreak,2017,Humanitarian Response,Active,Level 2,Validated,UNICEF Temporal Expansion Module,English,1,Ministry Health Angola,UNICEF Module Search
8,UNICEF Angola Humanitarian Report 2018,https://reliefweb.int/report/angola/unicef-angola-humanitarian-situation-report-january-june-2018,UNICEF humanitarian situation report covering 2018 cholera outbreak,2018,Humanitarian Response,Active,Level 2,Validated,UNICEF Temporal Expansion Module,English,1,Ministry Health Angola,UNICEF Module Search
9,Frontiers Angola V. cholerae Study 1992-2006,https://www.frontiersin.org/articles/10.3389/fmicb.2013.00354/full,Academic study on Vibrio cholerae strains in Angola historical analysis,1992-2006,Academic Literature,Active,Level 2,Validated,Academic Citation Networks Module,English,2,WHO surveillance data,Academic Search Engine
10,MSF Angola Cholera Response 2006,https://reliefweb.int/report/angola/growing-cholera-outbreak-angola-msf-urges-government-take-stronger-action,MSF operational report on 2006 cholera outbreak response and treatment centers,2006,Operational Response,Active,Level 2,Validated,MSF Operational Research Module,English,1,WHO DON 2006,MSF Module Search
11,PMC DRC-Angola Cross-border Study,https://pmc.ncbi.nlm.nih.gov/articles/PMC8684622/,Academic study on cholera transmission patterns between DRC and Angola 1973-2018,1973-2018,Academic Literature,Active,Level 2,Validated,Cross-Border Intelligence Module,English,3,Multiple WHO sources,Academic Database Search
12,PubMed Luanda Early 1990s Study,https://pubmed.ncbi.nlm.nih.gov/8307144/,Academic study on recurrent cholera epidemic in Luanda Angola early 1990s,1992,Academic Literature,Active,Level 2,Validated,Academic Citation Networks Module,English,1,Laboratory analysis,PubMed Database Search
13,WHO GHO Annual Surveillance Data,https://apps.who.int/gho/athena/data/xmart.csv?target=GHO/CHOLERA_0000000001&profile=crosstable&filter=COUNTRY:*;REGION:AFR;&ead=&x-sideaxis=COUNTRY;YEAR&x-topaxis=GHO,WHO Global Health Observatory annual cholera surveillance data for Angola,2010-2016,Official Surveillance,Active,Level 1,Validated,WHO WER Module systematic search,English,1,Weekly Epidemiological Record,WHO GHO Database
14,WHO Angola Flash Update 2 January 2025,https://www.afro.who.int/countries/angola/publication/who-angola-cholera-flash-update-2,WHO AFRO flash update on Angola cholera outbreak January 2025,2025,Official Surveillance,Active,Level 1,Validated,WHO AFRO systematic search,English,1,WHO DON 2025,WHO AFRO Module
15,ReliefWeb Cazenga Cholera 2006,https://reliefweb.int/report/angola/cholera-outbreak-angola-people-cazenga-need-clean-water-urgently,Red Cross report on cholera outbreak in Cazenga district Luanda Province 2006,2006,Humanitarian Response,Active,Level 2,Validated,Geographic Expansion Module,English,1,WHO DON 2006,Municipal-level Search
16,UNICEF Angola Flash Update January 2025,https://reliefweb.int/report/angola/unicef-angola-flash-update-no-2-cholera-27-january-2025,UNICEF flash update with municipal-level breakdown for Angola cholera outbreak,2025,Humanitarian Response,Active,Level 2,Validated,Geographic Expansion Module,English,1,WHO Flash Update,Municipal Detail Search
17,ReliefWeb Benguela Egipto-Praia 2006,https://reliefweb.int/report/angola/angolabenguela-cholera-kills-nine-egipto-praia,Government Angola report on cholera outbreak in Benguela Province localities,2006,Official Regional,Active,Level 2,Validated,Geographic Expansion Module,English,1,WHO DON 2006,District-level Search
18,WHO AFRO Bengo Mission Report,https://www.afro.who.int/countries/angola/news/who-angola-participates-high-level-cholera-response-mission-bengo,WHO AFRO high-level mission report on cholera response in Bengo Province,2025,Official Surveillance,Active,Level 1,Validated,Geographic Expansion Module,English,1,WHO DON 2025,Provincial Detail Search
19,ReliefWeb Zaire Province Soyo 2017,https://reliefweb.int/report/angola/angola-soyo-cholera-outbreak-under-control-zaire-governor,Government Angola Zaire Province governor report on Soyo cholera outbreak,2017,Official Regional,Active,Level 2,Validated,Geographic Expansion Module,English,1,UNICEF 2017,Provincial Government Search
20,UNICEF Uige Province October 2018,https://reliefweb.int/report/angola/unicef-angola-humanitarian-situation-report-october-2018,UNICEF humanitarian situation report on Uige Province cholera outbreak,2018,Humanitarian Response,Active,Level 2,Validated,Geographic Expansion Module,English,1,UNICEF Jan-Jun 2018,Provincial Detail Search
21,WHO Documentation Decade Absence 1995-2000,Multiple WHO/academic sources,Systematic validation of decade-long cholera absence period 1995-2000,1995-2000,Zero-Transmission Validation,Validated,Level 1,Validated,Zero-Transmission Module,English,1,Multiple WHO sources,Systematic Absence Search  
22,Post-Conflict Health System Evidence 2002-2005,Multiple academic/WHO sources,Post-conflict period health system reconstruction with continued cholera absence,2002-2005,Zero-Transmission Validation,Validated,Level 2,Validated,Zero-Transmission Module,English,2,WHO post-conflict reports,Historical Context Search
23,WHO AFRO Recent Surveillance 2019-2024,WHO AFRO and ECDC surveillance data,Recent period validation no cholera cases reported Angola through 2024,2019-2024,Zero-Transmission Validation,Validated,Level 1,Validated,Zero-Transmission Module,English,1,WHO AFRO bulletins,Recent Surveillance Search
24,WHO Surveillance Data 2015 Gap,WHO GHO and surveillance databases,WHO surveillance data gap validation between 2014 and 2016 outbreak years,2015,Zero-Transmission Validation,Validated,Level 1,Validated,Zero-Transmission Module,English,1,WHO annual surveillance data,Systematic Gap Analysis
