Location,TL,TR,Primary,Phantom,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,extraction_status
AFR::AGO::National::National,2025-01-07,2025-03-23,true,false,329,8543,,3.9,2025-03-23,1,WHO Disease Outbreak News,1.0,EXTRACTED
AFR::AGO::Luanda::Luanda,2025-01-07,2025-03-23,true,false,,4143,,48.5,2025-03-23,1,WHO Disease Outbreak News,1.0,EXTRACTED
AFR::AGO::Bengo::Bengo,2025-01-07,2025-03-23,true,false,,2485,,29.1,2025-03-23,1,WHO Disease Outbreak News,1.0,EXTRACTED
AFR::AGO::National::National,2025-01-07,2025-01-27,true,false,45,1081,,4.2,2025-01-27,4,UNICEF Angola Flash Update,1.0,EXTRACTED
AFR::AGO::Luanda::Luanda,2025-01-07,2025-01-27,true,false,32,748,,4.3,2025-01-27,4,UNICEF Angola Flash Update,1.0,EXTRACTED
AFR::AGO::IcoloeBengo::IcoloeBengo,2025-01-07,2025-01-27,true,false,5,201,,2.5,2025-01-27,4,UNICEF Angola Flash Update,1.0,EXTRACTED
AFR::AGO::Bengo::Bengo,2025-01-07,2025-01-27,true,false,8,124,,6.5,2025-01-27,4,UNICEF Angola Flash Update,1.0,EXTRACTED
AFR::AGO::Malanje::Malanje,2025-01-07,2025-01-27,true,false,0,3,,0.0,2025-01-27,4,UNICEF Angola Flash Update,1.0,EXTRACTED
AFR::AGO::Huambo::Huambo,2025-01-07,2025-01-27,true,false,0,3,,0.0,2025-01-27,4,UNICEF Angola Flash Update,1.0,EXTRACTED
AFR::AGO::Huila::Huila,2025-01-07,2025-01-27,true,false,0,2,,0.0,2025-01-27,4,UNICEF Angola Flash Update,1.0,EXTRACTED
AFR::AGO::National::National,2006-01-01,2006-05-16,true,false,1298,35775,,4.0,2006-05-16,8,ReliefWeb Angola Cholera,0.9,EXTRACTED
AFR::AGO::National::National,2006-01-01,2006-05-24,true,false,1451,39267,,3.7,2006-05-24,9,UNICEF Angola 2006,0.9,EXTRACTED
AFR::AGO::National::National,2006-01-01,2006-05-31,true,false,1576,41475,,3.8,2006-05-31,8,ReliefWeb Angola Cholera,0.9,EXTRACTED
AFR::AGO::National::National,2006-01-01,2006-06-06,true,false,1642,43076,,3.8,2006-06-06,8,ReliefWeb Angola Cholera,0.9,EXTRACTED
AFR::AGO::National::National,2006-01-01,2006-12-31,true,false,2700,67000,,4.0,2006-12-31,6,MSF Operational Response,0.8,INTERPRETED
AFR::AGO::Luanda::Luanda,2006-01-01,2006-12-31,true,false,,34317,,51.0,2006-12-31,9,UNICEF Angola 2006,0.9,INTERPRETED
AFR::AGO::Benguela::Benguela,2006-01-01,2006-12-31,true,false,,12741,,19.0,2006-12-31,9,UNICEF Angola 2006,0.9,INTERPRETED
