Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Access_Status
1,WHO Disease Outbreak News,https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON562,Official WHO DON report on Angola cholera outbreak 2025,2025-01-07 to 2025-03-23,Official,Active,1,Accessible
2,WHO African Regional Office,https://www.afro.who.int/countries/angola/news/angola-enhances-data-management-combat-cholera-outbreak,WHO AFRO report on Angola cholera data management enhancement,2025,Official,Active,1,Accessible
3,WHO African Regional Office,https://www.afro.who.int/countries/angola/news/improving-cholera-outbreak-response-angolas-hardest-hit-regions,WHO AFRO report on cholera response in hardest-hit regions,2025,Official,Active,1,Accessible
4,UNICEF Angola Flash Update,https://reliefweb.int/report/angola/unicef-angola-flash-update-no-2-cholera-27-january-2025,UNICEF Flash Update No. 2 on cholera outbreak,2025-01-27,Humanitarian,Active,1,Accessible
5,UNICEF Angola Situation Report,https://www.unicef.org/documents/angola-situation-report-no-2-cholera-outbreak-27-january-2025,UNICEF Situation Report No. 2 cholera outbreak,2025-01-27,Humanitarian,Active,1,Accessible
6,MSF Operational Response,https://www.msf.org/number-infected-people-reaches-20000-response-angola-cholera-epidemic-remains-insufficient,MSF report on Angola cholera epidemic response inadequacy,2006,Humanitarian,Active,2,Accessible
7,MSF Angola 2006 Evaluation,https://evaluation.msf.org/evaluation-report/overall-response-to-cholera-epidemics-in-angola-in-2006,MSF evaluation of overall response to cholera epidemics in Angola,2006,Humanitarian,Active,2,Accessible
8,ReliefWeb Angola Cholera,https://reliefweb.int/report/angola/cholera-angola-update-18-may-2006,ReliefWeb cholera update for Angola,2006-05-18,Humanitarian,Active,2,Accessible
9,UNICEF Angola 2006,https://reliefweb.int/report/angola/cholera-outbreak-unicef-angola-situation-report-26-may-2006,UNICEF Angola cholera outbreak situation report,2006-05-26,Humanitarian,Active,2,Accessible
10,Angola Ministry of Health,https://minsa.gov.ao/,Angola Ministry of Health official website,2025,Official,Active,1,Accessible
11,PubMed Research Study,https://pubmed.ncbi.nlm.nih.gov/24348465/,Vibrio cholerae O1 epidemic variants in Angola retrospective study,1992-2006,Academic,Active,2,Accessible
12,Frontiers Research Article,https://www.frontiersin.org/articles/10.3389/fmicb.2013.00354/full,Frontiers article on Vibrio cholerae epidemic variants in Angola,1992-2006,Academic,Active,2,Accessible
13,Africa CDC Angola Support,https://africacdc.org/news-item/africa-cdc-supports-angola-to-fight-cholera/,Africa CDC support announcement for Angola cholera fight,2025,Official,Active,1,Accessible
14,SADC Regional Context,https://www.sadc.int/latest-news/sadc-health-ministers-convene-meeting-review-status-health-region,SADC health ministers meeting including cholera discussion,2023,Official,Active,2,Accessible
15,WHO Apps Database,https://apps.who.int/iris/handle/10665/233092,WHO outbreak news cholera Angola historical,2006,Official,Active,1,Accessible
