country,iso_code,first_data,last_data,total_span_years,coverage_percentage,data_periods,major_gaps,covered_intervals,priority_search_periods
Gambia,GMB,1985-01-01,2021-12-31,37.0,0.3,6,4,1985-01-01 to 1985-12-31; 1994-01-01 to 1996-12-31; 2005-01-01 to 2008-12-31; 2011-01-01 to 2015-12-31; 2021-01-01 to 2021-12-31; 2023-01-01 to 2023-12-31,2008-12-31 to 2021-01-01
Eritrea,ERI,2007-01-01,2008-12-31,2.0,1.9,3,0,2005-01-01 to 2008-12-31; 2011-01-01 to 2021-12-31; 2023-01-01 to 2023-12-31,2008-12-31 to 2025-01-01
Mauritania,MRT,1971-01-01,2011-12-31,41.0,3.0,6,5,1971-01-01 to 1973-12-31; 1984-01-01 to 1989-12-31; 1996-01-01 to 1997-12-31; 2002-01-01 to 2003-12-31; 2005-01-01 to 2007-12-31; 2011-01-01 to 2023-12-31,2007-12-31 to 2011-01-01
Gabon,GAB,1979-01-01,2008-12-31,30.0,3.6,6,3,1979-01-01 to 1979-12-31; 1981-01-01 to 1981-12-31; 2002-01-01 to 2003-12-31; 2005-01-01 to 2006-12-31; 2008-01-01 to 2008-12-31; 2011-01-01 to 2021-12-31,2003-12-31 to 2008-01-01
Equatorial Guinea,GNQ,1984-01-01,2005-12-31,22.0,5.2,3,1,1984-01-01 to 1985-12-31; 2004-01-01 to 2006-12-31; 2011-01-01 to 2021-12-31,1985-12-31 to 2004-01-01
Burkina Faso,BFA,1970-01-01,2022-12-31,53.0,6.1,11,13,1970-01-01 to 1975-12-31; 1978-01-01 to 1978-12-31; 1984-01-01 to 1985-12-31; 1991-01-01 to 1991-12-31; 1995-01-01 to 1996-12-31; 1998-01-01 to 2001-12-31; 2003-01-01 to 2003-12-31; 2005-01-01 to 2006-12-31; 2008-01-01 to 2008-12-31; 2011-01-01 to 2012-12-31; 2013-12-30 to 2024-03-31,2021-09-19 to 2022-01-01
Namibia,NAM,2006-01-01,2025-03-23,19.2,6.6,4,4,2005-01-01 to 2009-12-31; 2011-01-01 to 2021-12-31; 2023-01-01 to 2024-01-26; 2025-03-17 to 2025-03-23,2018-01-31 to 2025-03-17
Mali,MLI,1970-01-01,2021-12-31,52.0,7.0,6,9,1970-01-01 to 1974-12-31; 1984-01-01 to 1987-12-31; 1995-01-01 to 1997-12-31; 1999-01-01 to 2006-12-31; 2008-01-01 to 2008-12-31; 2011-01-01 to 2023-12-31,2013-12-31 to 2021-01-01
Guinea,GIN,1970-01-01,2018-11-25,48.9,10.9,5,11,1970-01-01 to 1970-12-31; 1986-01-01 to 1986-12-31; 1994-01-01 to 1996-12-31; 1998-01-01 to 2009-12-31; 2011-01-01 to 2024-09-29,2018-07-08 to 2018-11-19
Chad,TCD,1971-01-01,2019-12-31,49.0,11.0,9,17,1971-01-01 to 1972-12-31; 1974-01-01 to 1974-12-31; 1991-01-01 to 1991-12-31; 1994-01-01 to 1994-12-31; 1996-01-01 to 1999-12-31; 2001-01-01 to 2001-12-31; 2003-01-01 to 2007-12-31; 2009-01-01 to 2011-12-31; 2013-12-30 to 2023-12-31,2019-09-15 to 2019-09-23
Sierra Leone,SLE,1970-01-01,2018-06-17,48.5,12.3,8,13,1970-01-01 to 1971-12-31; 1977-01-01 to 1978-12-31; 1986-01-01 to 1987-12-31; 1994-01-01 to 1996-12-31; 1998-01-01 to 2009-12-31; 2011-01-01 to 2013-12-31; 2014-12-29 to 2018-10-14; 2018-12-31 to 2024-03-24,2018-05-13 to 2018-06-11
Central African Republic,CAF,1997-01-01,2023-01-01,26.0,16.7,4,6,1997-01-01 to 1998-12-31; 2004-01-01 to 2006-12-31; 2011-01-01 to 2012-12-31; 2013-12-30 to 2024-03-31,2019-02-24 to 2022-01-03
Togo,TGO,1970-01-01,2025-03-09,55.2,21.3,5,15,1970-01-01 to 1972-12-31; 1974-01-01 to 1974-12-31; 1977-01-01 to 1978-12-31; 1988-01-01 to 1988-12-31; 1991-01-01 to 2025-03-23,2024-12-29 to 2025-01-06
Angola,AGO,1971-01-01,2025-06-01,54.4,21.5,7,16,1971-01-01 to 1975-12-31; 1977-01-01 to 1977-12-31; 1987-01-01 to 1992-12-31; 1994-01-01 to 1996-12-31; 2005-01-01 to 2023-02-04; 2023-04-22 to 2023-04-28; 2025-01-06 to 2025-06-01,2019-01-20 to 2025-01-06
Niger,NER,1970-01-01,2024-09-24,54.7,22.0,9,27,1970-01-01 to 1974-12-31; 1981-01-01 to 1981-12-31; 1984-01-01 to 1984-12-31; 1989-01-01 to 1989-12-31; 1991-01-01 to 1991-12-31; 1994-01-01 to 1997-12-31; 1999-01-01 to 2008-12-31; 2010-01-01 to 2021-12-31; 2023-01-01 to 2024-09-24,2024-08-11 to 2024-08-27
Ethiopia,ETH,1970-01-01,2025-06-01,55.4,24.5,3,24,1970-01-01 to 1971-12-31; 1982-01-01 to 1982-12-31; 2004-01-01 to 2025-06-01,2024-12-15 to 2024-12-23
Somalia,SOM,1970-01-01,2025-06-01,55.4,25.0,4,18,1970-01-01 to 1971-12-31; 1985-01-01 to 1986-12-31; 1994-01-01 to 2004-12-31; 2007-01-01 to 2025-06-01,2019-06-02 to 2020-01-01
Zimbabwe,ZWE,1973-01-01,2025-06-01,52.4,26.3,3,22,1973-01-01 to 1976-12-31; 1985-01-01 to 1986-12-31; 1992-01-01 to 2025-06-01,2025-05-18 to 2025-05-26
Benin,BEN,1970-01-01,2024-03-31,54.2,27.8,5,38,1970-01-01 to 1978-12-31; 1980-01-01 to 1984-12-31; 1986-01-01 to 1986-12-31; 1991-01-01 to 2006-12-31; 2008-01-01 to 2024-03-31,2023-12-24 to 2024-01-01
Zambia,ZMB,1977-01-01,2025-05-18,48.4,29.0,1,20,1977-01-01 to 2025-05-18,2025-04-20 to 2025-05-12
Tanzania,TZA,1974-01-01,2025-05-25,51.4,30.2,3,17,1974-01-01 to 1974-12-31; 1977-01-01 to 2013-12-31; 2014-12-29 to 2025-05-25,2023-12-10 to 2023-12-18
Liberia,LBR,1970-01-01,2024-03-31,54.2,30.6,3,54,1970-01-01 to 1989-12-31; 1991-01-01 to 1991-12-31; 1994-01-01 to 2024-03-31,2021-12-12 to 2022-01-01
Mozambique,MOZ,1973-01-01,2025-06-01,52.4,31.7,4,31,1973-01-01 to 1977-12-31; 1979-01-01 to 1986-12-31; 1989-01-01 to 1994-12-31; 1996-01-01 to 2025-06-01,2024-12-29 to 2025-01-27
South Sudan,SSD,2006-01-28,2025-06-08,19.4,31.9,4,12,2006-01-28 to 2006-03-20; 2007-01-01 to 2007-06-10; 2010-05-09 to 2010-05-15; 2011-01-01 to 2025-06-08,2023-06-04 to 2024-01-01
Côte d'Ivoire,CIV,1970-01-01,2023-09-24,53.7,32.5,7,48,1970-01-01 to 1971-12-31; 1979-01-01 to 1979-12-31; 1982-01-01 to 1982-12-31; 1991-01-01 to 1996-12-31; 2001-01-01 to 2019-11-03; 2019-12-30 to 2020-02-23; 2021-01-01 to 2024-03-31,2022-06-05 to 2023-01-01
South Africa,ZAF,1973-01-01,2024-11-24,51.9,33.1,8,13,1973-01-01 to 1974-12-31; 1979-01-01 to 1987-12-31; 1991-01-01 to 1994-12-31; 1998-01-01 to 2006-12-31; 2008-01-01 to 2009-12-31; 2011-01-01 to 2017-12-31; 2018-03-06 to 2018-03-10; 2018-09-29 to 2024-11-24,2023-03-04 to 2024-01-01
Burundi,BDI,1978-01-01,2025-05-25,47.4,33.2,2,34,1978-01-01 to 1985-12-31; 1990-01-01 to 2025-05-25,2025-04-13 to 2025-04-21
Uganda,UGA,1971-01-01,2025-03-30,54.2,34.3,8,56,1971-01-01 to 1971-12-31; 1975-01-01 to 1975-12-31; 1978-01-01 to 1980-12-31; 1982-01-01 to 1982-12-31; 1987-01-01 to 1987-12-31; 1991-01-01 to 1992-12-31; 1994-01-01 to 2021-01-01; 2022-01-01 to 2025-03-30,2025-03-09 to 2025-03-24
Guinea-Bissau,GNB,1986-01-01,2014-12-31,29.0,35.4,5,8,1986-01-01 to 1987-12-31; 1994-01-01 to 1998-12-31; 2002-01-01 to 2009-12-31; 2012-01-01 to 2019-08-18; 2019-12-30 to 2024-09-29,2013-07-22 to 2014-01-01
Ghana,GHA,1970-01-01,2025-05-04,55.3,36.3,2,36,1970-01-01 to 1985-12-31; 1990-01-01 to 2025-05-04,2025-04-20 to 2025-04-28
Cameroon,CMR,1971-01-01,2024-11-24,53.9,37.2,2,67,1971-01-01 to 1976-12-31; 1978-01-01 to 2024-11-24,2021-09-19 to 2021-10-01
Democratic Republic of Congo,COD,1978-01-01,2025-05-25,47.4,41.1,1,9,1978-01-01 to 2025-05-25,2022-07-10 to 2023-01-01
Nigeria,NGA,1970-01-01,2025-05-11,55.4,41.2,3,42,1970-01-01 to 1973-12-31; 1975-01-01 to 1989-12-31; 1991-01-01 to 2025-05-11,2025-04-20 to 2025-05-05
Botswana,BWA,2008-01-01,2009-12-31,2.0,53.6,4,2,2005-01-01 to 2006-12-31; 2008-01-01 to 2009-12-31; 2011-01-01 to 2021-12-31; 2023-01-01 to 2023-12-31,2009-02-05 to 2009-02-24
Kenya,KEN,1971-01-01,2025-06-01,54.4,54.1,8,37,1971-01-01 to 1972-12-31; 1974-01-01 to 1987-12-31; 1989-01-01 to 1989-12-31; 1992-01-01 to 1992-12-31; 1994-01-01 to 2012-03-31; 2012-09-10 to 2012-11-25; 2013-05-14 to 2013-05-27; 2014-01-01 to 2025-06-01,2024-08-11 to 2025-02-10
Malawi,MWI,2023-01-02,2025-03-30,2.2,99.1,1,3,2023-01-02 to 2025-04-13,2025-03-16 to 2025-03-24
