iso_code,country,total_months,covered_months,missing_months,coverage_pct,priority,gap_count
COG,Congo,668,0,668,0.0,HIGH,1
RWA,Rwanda,668,0,668,0.0,HIGH,1
SEN,Senegal,668,0,668,0.0,HIGH,1
SWZ,Eswatini,668,0,668,0.0,HIGH,1
MWI,Malawi,668,28,640,4.191616766467066,HIGH,2
GMB,Gambia,668,180,488,26.94610778443114,HIGH,7
SSD,South Sudan,668,184,484,27.54491017964072,HIGH,5
BWA,Botswana,668,192,476,28.74251497005988,HIGH,5
ERI,Eritrea,668,192,476,28.74251497005988,HIGH,4
GNQ,Equatorial Guinea,668,192,476,28.74251497005988,HIGH,4
NAM,Namibia,668,206,462,30.83832335329341,HIGH,5
CAF,Central African Republic,668,208,460,31.137724550898206,HIGH,5
GAB,Gabon,668,216,452,32.33532934131736,HIGH,7
ETH,Ethiopia,668,294,374,44.01197604790419,HIGH,3
GNB,Guinea-Bissau,668,329,339,49.25149700598803,HIGH,7
TCD,Chad,668,337,331,50.44910179640718,HIGH,10
MRT,Mauritania,668,348,320,52.09580838323353,HIGH,7
GIN,Guinea,668,369,299,55.23952095808383,HIGH,5
BFA,Burkina Faso,668,388,280,58.08383233532935,HIGH,11
CIV,Côte d'Ivoire,668,389,279,58.23353293413174,HIGH,6
SLE,Sierra Leone,668,399,269,59.73053892215569,HIGH,8
SOM,Somalia,668,402,266,60.17964071856288,HIGH,4
AGO,Angola,668,405,263,60.62874251497006,HIGH,8
MLI,Mali,668,408,260,61.07784431137725,HIGH,6
NER,Niger,668,441,227,66.01796407185628,HIGH,9
LBR,Liberia,668,615,53,92.06586826347305,LOW,3
GHA,Ghana,668,617,51,92.36526946107784,LOW,2
CMR,Cameroon,668,635,33,95.05988023952095,LOW,3
NGA,Nigeria,668,641,27,95.95808383233533,LOW,3
ZAF,South Africa,668,471,197,70.50898203592814,MEDIUM,10
UGA,Uganda,668,472,196,70.65868263473054,MEDIUM,9
ZWE,Zimbabwe,668,474,194,70.95808383233533,MEDIUM,4
TGO,Togo,668,495,173,74.10179640718563,MEDIUM,5
BDI,Burundi,668,521,147,77.9940119760479,MEDIUM,3
BEN,Benin,668,567,101,84.88023952095809,MEDIUM,5
COD,Democratic Republic of Congo,668,569,99,85.17964071856288,MEDIUM,2
KEN,Kenya,668,577,91,86.37724550898204,MEDIUM,9
ZMB,Zambia,668,581,87,86.97604790419162,MEDIUM,2
MOZ,Mozambique,668,582,86,87.12574850299401,MEDIUM,5
TZA,Tanzania,668,582,86,87.12574850299401,MEDIUM,4
