country,iso_code,gap_start,gap_end,gap_days,gap_years
Ethiopia,ETH,2018-12-10,2023-01-01,1484,4.1
Togo,TGO,2020-02-24,2023-12-10,1386,3.8
Tanzania,TZA,2019-06-17,2023-01-15,1309,3.6
Burundi,BDI,2019-07-29,2023-01-01,1253,3.4
Somalia,SOM,2019-07-29,2023-01-01,1253,3.4
Malawi,MWI,2019-12-30,2023-01-01,1099,3.0
Uganda,UGA,2021-12-06,2023-07-23,595,1.6
Angola,AGO,2023-06-19,2025-01-05,567,1.6
South Sudan,SSD,2023-06-05,2024-09-22,476,1.3
Ghana,GHA,2023-11-20,2024-08-18,273,0.7
Zimbabwe,ZWE,2022-07-04,2023-02-12,224,0.6
Nigeria,NGA,2022-08-22,2023-01-01,133,0.4
Democratic Republic of Congo,COD,2022-09-05,2023-01-01,119,0.3
